Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[individual]	Characteristics[sex]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[sampling site]	Characteristics[genotype]	Characteristics[injury]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[cdna read]	Comment[cdna read offset]	Comment[cdna read size]	Comment[cell barcode offset]	Comment[cell barcode read]	Comment[cell barcode size]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[sample barcode offset]	Comment[sample barcode read]	Comment[sample barcode size]	Comment[single cell isolation]	Comment[spike in]	Comment[umi barcode offset]	Comment[umi barcode read]	Comment[umi barcode size]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[BAM_URI]	Comment[read1 file]	Comment[FASTQ_URI]	Comment[read2 file]	Comment[FASTQ_URI]	Comment[index1 file]	Comment[FASTQ_URI]	Factor Value[injury]	Factor Value[age]	Unit[time unit]
EXT036	ERS5599852	SAMEA7853373	Mus musculus	C57BL/6J	EXT036	male	9 to 11	week	EFO	UO_0000003	adult	pituitary gland	anterior pituitary	GH+/+;R26iDTR/+	none	cell	P-MTAB-105715	KU Leuven	P-MTAB-105716	KU Leuven	P-MTAB-105717	KU Leuven	P-MTAB-105712	VIB-CCB	P-MTAB-105713	VIB-CCB	EXT036	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-105714	VIB-CCB	scrEXT036_mm10_S9_L003	SAMEA7853373	sequencing assay	ERX4978537	scrEXT036_mm10_S9_L003.bam	scrEXT036_mm10_S9_L003.bam	ERR5173640	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR517/ERR5173640/scrEXT036_mm10_S9_L003.bam	scrEXT036_mm10_S9_L003_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT036_mm10_S9_L003_R1_001.fastq.gz	scrEXT036_mm10_S9_L003_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT036_mm10_S9_L003_R2_001.fastq.gz	scrEXT036_mm10_S9_L003_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT036_mm10_S9_L003_I1_001.fastq.gz	none	9 to 11	week
EXT036	ERS5599852	SAMEA7853373	Mus musculus	C57BL/6J	EXT036	male	9 to 11	week	EFO	UO_0000003	adult	pituitary gland	anterior pituitary	GH+/+;R26iDTR/+	none	cell	P-MTAB-105715	KU Leuven	P-MTAB-105716	KU Leuven	P-MTAB-105717	KU Leuven	P-MTAB-105712	VIB-CCB	P-MTAB-105713	VIB-CCB	EXT036	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-105714	VIB-CCB	scrEXT036_mm10_S9_L004	SAMEA7853373	sequencing assay	ERX4978537	scrEXT036_mm10_S9_L004.bam	scrEXT036_mm10_S9_L004.bam	ERR5173641	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR517/ERR5173641/scrEXT036_mm10_S9_L004.bam	scrEXT036_mm10_S9_L004_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT036_mm10_S9_L004_R1_001.fastq.gz	scrEXT036_mm10_S9_L004_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT036_mm10_S9_L004_R2_001.fastq.gz	scrEXT036_mm10_S9_L004_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT036_mm10_S9_L004_I1_001.fastq.gz	none	9 to 11	week
EXT036	ERS5599852	SAMEA7853373	Mus musculus	C57BL/6J	EXT036	male	9 to 11	week	EFO	UO_0000003	adult	pituitary gland	anterior pituitary	GH+/+;R26iDTR/+	none	cell	P-MTAB-105715	KU Leuven	P-MTAB-105716	KU Leuven	P-MTAB-105717	KU Leuven	P-MTAB-105712	VIB-CCB	P-MTAB-105713	VIB-CCB	EXT036	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-105714	VIB-CCB	scrEXT036_mm10_S9_L005	SAMEA7853373	sequencing assay	ERX4978537	scrEXT036_mm10_S9_L005.bam	scrEXT036_mm10_S9_L005.bam	ERR5173642	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR517/ERR5173642/scrEXT036_mm10_S9_L005.bam	scrEXT036_mm10_S9_L005_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT036_mm10_S9_L005_R1_001.fastq.gz	scrEXT036_mm10_S9_L005_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT036_mm10_S9_L005_R2_001.fastq.gz	scrEXT036_mm10_S9_L005_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT036_mm10_S9_L005_I1_001.fastq.gz	none	9 to 11	week
EXT036	ERS5599852	SAMEA7853373	Mus musculus	C57BL/6J	EXT036	male	9 to 11	week	EFO	UO_0000003	adult	pituitary gland	anterior pituitary	GH+/+;R26iDTR/+	none	cell	P-MTAB-105715	KU Leuven	P-MTAB-105716	KU Leuven	P-MTAB-105717	KU Leuven	P-MTAB-105712	VIB-CCB	P-MTAB-105713	VIB-CCB	EXT036	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-105714	VIB-CCB	scrEXT036_mm10_S9_L006	SAMEA7853373	sequencing assay	ERX4978537	scrEXT036_mm10_S9_L006.bam	scrEXT036_mm10_S9_L006.bam	ERR5173643	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR517/ERR5173643/scrEXT036_mm10_S9_L006.bam	scrEXT036_mm10_S9_L006_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT036_mm10_S9_L006_R1_001.fastq.gz	scrEXT036_mm10_S9_L006_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT036_mm10_S9_L006_R2_001.fastq.gz	scrEXT036_mm10_S9_L006_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT036_mm10_S9_L006_I1_001.fastq.gz	none	9 to 11	week
EXT036	ERS5599852	SAMEA7853373	Mus musculus	C57BL/6J	EXT036	male	9 to 11	week	EFO	UO_0000003	adult	pituitary gland	anterior pituitary	GH+/+;R26iDTR/+	none	cell	P-MTAB-105715	KU Leuven	P-MTAB-105716	KU Leuven	P-MTAB-105717	KU Leuven	P-MTAB-105712	VIB-CCB	P-MTAB-105713	VIB-CCB	EXT036	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-105714	VIB-CCB	scrEXT036_S9_L001	SAMEA7853373	sequencing assay	ERX4978537	scrEXT036_S9_L001.bam	scrEXT036_S9_L001.bam	ERR5173644	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR517/ERR5173644/scrEXT036_S9_L001.bam	scrEXT036_S9_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT036_S9_L001_R1_001.fastq.gz	scrEXT036_S9_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT036_S9_L001_R2_001.fastq.gz	scrEXT036_S9_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT036_S9_L001_I1_001.fastq.gz	none	9 to 11	week
EXT036	ERS5599852	SAMEA7853373	Mus musculus	C57BL/6J	EXT036	male	9 to 11	week	EFO	UO_0000003	adult	pituitary gland	anterior pituitary	GH+/+;R26iDTR/+	none	cell	P-MTAB-105715	KU Leuven	P-MTAB-105716	KU Leuven	P-MTAB-105717	KU Leuven	P-MTAB-105712	VIB-CCB	P-MTAB-105713	VIB-CCB	EXT036	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-105714	VIB-CCB	scrEXT036_S9_L002	SAMEA7853373	sequencing assay	ERX4978537	scrEXT036_S9_L002.bam	scrEXT036_S9_L002.bam	ERR5173645	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR517/ERR5173645/scrEXT036_S9_L002.bam	scrEXT036_S9_L002_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT036_S9_L002_R1_001.fastq.gz	scrEXT036_S9_L002_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT036_S9_L002_R2_001.fastq.gz	scrEXT036_S9_L002_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT036_S9_L002_I1_001.fastq.gz	none	9 to 11	week
EXT037	ERS5599853	SAMEA7853374	Mus musculus	C57BL/6J	EXT037	male	9 to 11	week	EFO	UO_0000003	adult	pituitary gland	anterior pituitary	GHCre/+;R26iDTR/+	cell-ablation injury	cell	P-MTAB-105715	KU Leuven	P-MTAB-105716	KU Leuven	P-MTAB-105717	KU Leuven	P-MTAB-105712	VIB-CCB	P-MTAB-105713	VIB-CCB	EXT037	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-105714	VIB-CCB	scrEXT037_mm10_S10_L003	SAMEA7853374	sequencing assay	ERX4978538	scrEXT037_mm10_S10_L003.bam	scrEXT037_mm10_S10_L003.bam	ERR5173646	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR517/ERR5173646/scrEXT037_mm10_S10_L003.bam	scrEXT037_mm10_S10_L003_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT037_mm10_S10_L003_R1_001.fastq.gz	scrEXT037_mm10_S10_L003_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT037_mm10_S10_L003_R2_001.fastq.gz	scrEXT037_mm10_S10_L003_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT037_mm10_S10_L003_I1_001.fastq.gz	cell-ablation injury	9 to 11	week
EXT037	ERS5599853	SAMEA7853374	Mus musculus	C57BL/6J	EXT037	male	9 to 11	week	EFO	UO_0000003	adult	pituitary gland	anterior pituitary	GHCre/+;R26iDTR/+	cell-ablation injury	cell	P-MTAB-105715	KU Leuven	P-MTAB-105716	KU Leuven	P-MTAB-105717	KU Leuven	P-MTAB-105712	VIB-CCB	P-MTAB-105713	VIB-CCB	EXT037	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-105714	VIB-CCB	scrEXT037_mm10_S10_L004	SAMEA7853374	sequencing assay	ERX4978538	scrEXT037_mm10_S10_L004.bam	scrEXT037_mm10_S10_L004.bam	ERR5173647	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR517/ERR5173647/scrEXT037_mm10_S10_L004.bam	scrEXT037_mm10_S10_L004_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT037_mm10_S10_L004_R1_001.fastq.gz	scrEXT037_mm10_S10_L004_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT037_mm10_S10_L004_R2_001.fastq.gz	scrEXT037_mm10_S10_L004_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT037_mm10_S10_L004_I1_001.fastq.gz	cell-ablation injury	9 to 11	week
EXT037	ERS5599853	SAMEA7853374	Mus musculus	C57BL/6J	EXT037	male	9 to 11	week	EFO	UO_0000003	adult	pituitary gland	anterior pituitary	GHCre/+;R26iDTR/+	cell-ablation injury	cell	P-MTAB-105715	KU Leuven	P-MTAB-105716	KU Leuven	P-MTAB-105717	KU Leuven	P-MTAB-105712	VIB-CCB	P-MTAB-105713	VIB-CCB	EXT037	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-105714	VIB-CCB	scrEXT037_mm10_S10_L005	SAMEA7853374	sequencing assay	ERX4978538	scrEXT037_mm10_S10_L005.bam	scrEXT037_mm10_S10_L005.bam	ERR5173648	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR517/ERR5173648/scrEXT037_mm10_S10_L005.bam	scrEXT037_mm10_S10_L005_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT037_mm10_S10_L005_R1_001.fastq.gz	scrEXT037_mm10_S10_L005_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT037_mm10_S10_L005_R2_001.fastq.gz	scrEXT037_mm10_S10_L005_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT037_mm10_S10_L005_I1_001.fastq.gz	cell-ablation injury	9 to 11	week
EXT037	ERS5599853	SAMEA7853374	Mus musculus	C57BL/6J	EXT037	male	9 to 11	week	EFO	UO_0000003	adult	pituitary gland	anterior pituitary	GHCre/+;R26iDTR/+	cell-ablation injury	cell	P-MTAB-105715	KU Leuven	P-MTAB-105716	KU Leuven	P-MTAB-105717	KU Leuven	P-MTAB-105712	VIB-CCB	P-MTAB-105713	VIB-CCB	EXT037	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-105714	VIB-CCB	scrEXT037_mm10_S10_L006	SAMEA7853374	sequencing assay	ERX4978538	scrEXT037_mm10_S10_L006.bam	scrEXT037_mm10_S10_L006.bam	ERR5173649	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR517/ERR5173649/scrEXT037_mm10_S10_L006.bam	scrEXT037_mm10_S10_L006_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT037_mm10_S10_L006_R1_001.fastq.gz	scrEXT037_mm10_S10_L006_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT037_mm10_S10_L006_R2_001.fastq.gz	scrEXT037_mm10_S10_L006_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10021/scrEXT037_mm10_S10_L006_I1_001.fastq.gz	cell-ablation injury	9 to 11	week
