"Correlation","Group","Dataset1","Dataset2","SameDataset"
0.139206299368971,"Within cluster","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
-0.0411665653713396,"Between clusters","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
0.00153545915257085,"Random shuffle","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
0.0868668507422521,"Random shuffle within","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
0.313634462534875,"Within cluster","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
-0.0164031477536031,"Between clusters","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
-0.00129152081482748,"Random shuffle","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
0.172957330209914,"Random shuffle within","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
0.149466130831933,"Within cluster","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
0.010377696306063,"Between clusters","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
0.00100344072044911,"Random shuffle","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
0.0810250962871864,"Random shuffle within","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
NA,"Within cluster","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
-0.127582036035479,"Between clusters","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
NA,"Random shuffle","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
NA,"Random shuffle within","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
0.120843592594478,"Within cluster","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
-0.0129228404333829,"Between clusters","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
-8.80635873989493e-06,"Random shuffle","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
0.0987646684003978,"Random shuffle within","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
NA,"Within cluster","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
-0.0064189989676218,"Between clusters","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
NA,"Random shuffle","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
NA,"Random shuffle within","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
0.123850401320936,"Within cluster","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
-0.000244012997207125,"Between clusters","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
0.000104146756977267,"Random shuffle","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
0.0944897011278283,"Random shuffle within","Allensworth 2021 - F","Allensworth 2021 - F","TRUE"
0.0453946035202737,"Within cluster","Fletcher 2019 - F","Allensworth 2021 - F","FALSE"
0.0314752208323179,"Between clusters","Fletcher 2019 - F","Allensworth 2021 - F","FALSE"
-0.0964611422813621,"Within cluster","Fletcher 2019 - F","Allensworth 2021 - F","FALSE"
-0.00616783544259653,"Between clusters","Fletcher 2019 - F","Allensworth 2021 - F","FALSE"
0.0132625263120127,"Within cluster","Fletcher 2019 - F","Allensworth 2021 - F","FALSE"
0.0264455072212523,"Between clusters","Fletcher 2019 - F","Allensworth 2021 - F","FALSE"
NA,"Within cluster","Fletcher 2019 - F","Allensworth 2021 - F","FALSE"
0.00252819282472188,"Between clusters","Fletcher 2019 - F","Allensworth 2021 - F","FALSE"
0.0530064577609337,"Within cluster","Fletcher 2019 - F","Allensworth 2021 - F","FALSE"
0.0175826756166316,"Between clusters","Fletcher 2019 - F","Allensworth 2021 - F","FALSE"
NA,"Within cluster","Fletcher 2019 - F","Allensworth 2021 - F","FALSE"
0.0340928890728685,"Between clusters","Fletcher 2019 - F","Allensworth 2021 - F","FALSE"
0.0152378485810293,"Within cluster","Fletcher 2019 - F","Allensworth 2021 - F","FALSE"
0.0115604852626961,"Between clusters","Fletcher 2019 - F","Allensworth 2021 - F","FALSE"
0.038166543986577,"Within cluster","Kučka 2021 - F","Allensworth 2021 - F","FALSE"
0.0439585447454503,"Between clusters","Kučka 2021 - F","Allensworth 2021 - F","FALSE"
-0.0940639220057549,"Within cluster","Kučka 2021 - F","Allensworth 2021 - F","FALSE"
-0.0104726593693514,"Between clusters","Kučka 2021 - F","Allensworth 2021 - F","FALSE"
0.00519059761244187,"Within cluster","Kučka 2021 - F","Allensworth 2021 - F","FALSE"
0.0519150477569024,"Between clusters","Kučka 2021 - F","Allensworth 2021 - F","FALSE"
NA,"Within cluster","Kučka 2021 - F","Allensworth 2021 - F","FALSE"
-0.0188635867800052,"Between clusters","Kučka 2021 - F","Allensworth 2021 - F","FALSE"
0.114592958751353,"Within cluster","Kučka 2021 - F","Allensworth 2021 - F","FALSE"
0.0215509191320016,"Between clusters","Kučka 2021 - F","Allensworth 2021 - F","FALSE"
NA,"Within cluster","Kučka 2021 - F","Allensworth 2021 - F","FALSE"
0.037399309096572,"Between clusters","Kučka 2021 - F","Allensworth 2021 - F","FALSE"
0.0227382804702737,"Within cluster","Kučka 2021 - F","Allensworth 2021 - F","FALSE"
0.0133537271288128,"Between clusters","Kučka 2021 - F","Allensworth 2021 - F","FALSE"
-0.0285561791262816,"Within cluster","Ruf-Zamojski 2021 - F","Allensworth 2021 - F","FALSE"
0.0268468215566714,"Between clusters","Ruf-Zamojski 2021 - F","Allensworth 2021 - F","FALSE"
0.0724245497698337,"Within cluster","Ruf-Zamojski 2021 - F","Allensworth 2021 - F","FALSE"
0.0133450323550001,"Between clusters","Ruf-Zamojski 2021 - F","Allensworth 2021 - F","FALSE"
0.0531587109670641,"Within cluster","Ruf-Zamojski 2021 - F","Allensworth 2021 - F","FALSE"
0.0408434046501535,"Between clusters","Ruf-Zamojski 2021 - F","Allensworth 2021 - F","FALSE"
NA,"Within cluster","Ruf-Zamojski 2021 - F","Allensworth 2021 - F","FALSE"
-0.109317299617504,"Between clusters","Ruf-Zamojski 2021 - F","Allensworth 2021 - F","FALSE"
0.0442662354459166,"Within cluster","Ruf-Zamojski 2021 - F","Allensworth 2021 - F","FALSE"
0.0234972608967232,"Between clusters","Ruf-Zamojski 2021 - F","Allensworth 2021 - F","FALSE"
NA,"Within cluster","Ruf-Zamojski 2021 - F","Allensworth 2021 - F","FALSE"
0.0597580333928059,"Between clusters","Ruf-Zamojski 2021 - F","Allensworth 2021 - F","FALSE"
0.0330819414750716,"Within cluster","Ruf-Zamojski 2021 - F","Allensworth 2021 - F","FALSE"
0.0231558334532077,"Between clusters","Ruf-Zamojski 2021 - F","Allensworth 2021 - F","FALSE"
0.0129153207182944,"Within cluster","Allensworth 2021 - F","Fletcher 2019 - F","FALSE"
0.0134564302881471,"Between clusters","Allensworth 2021 - F","Fletcher 2019 - F","FALSE"
0.0263787485417095,"Within cluster","Allensworth 2021 - F","Fletcher 2019 - F","FALSE"
0.00674590982569322,"Between clusters","Allensworth 2021 - F","Fletcher 2019 - F","FALSE"
0.0233604753108973,"Within cluster","Allensworth 2021 - F","Fletcher 2019 - F","FALSE"
0.0172597257795471,"Between clusters","Allensworth 2021 - F","Fletcher 2019 - F","FALSE"
0.169007124087773,"Within cluster","Fletcher 2019 - F","Fletcher 2019 - F","TRUE"
-0.0395572563447744,"Between clusters","Fletcher 2019 - F","Fletcher 2019 - F","TRUE"
-9.78252375096513e-05,"Random shuffle","Fletcher 2019 - F","Fletcher 2019 - F","TRUE"
0.115107831989524,"Random shuffle within","Fletcher 2019 - F","Fletcher 2019 - F","TRUE"
0.212748509702444,"Within cluster","Fletcher 2019 - F","Fletcher 2019 - F","TRUE"
-0.0443282078876712,"Between clusters","Fletcher 2019 - F","Fletcher 2019 - F","TRUE"
0.00105363444762131,"Random shuffle","Fletcher 2019 - F","Fletcher 2019 - F","TRUE"
0.0578630342080033,"Random shuffle within","Fletcher 2019 - F","Fletcher 2019 - F","TRUE"
0.178910510690697,"Within cluster","Fletcher 2019 - F","Fletcher 2019 - F","TRUE"
-0.0506334624502756,"Between clusters","Fletcher 2019 - F","Fletcher 2019 - F","TRUE"
-5.88302115100704e-06,"Random shuffle","Fletcher 2019 - F","Fletcher 2019 - F","TRUE"
0.0673004328810226,"Random shuffle within","Fletcher 2019 - F","Fletcher 2019 - F","TRUE"
0.1320100123455,"Within cluster","Kučka 2021 - F","Fletcher 2019 - F","FALSE"
0.0151315604239199,"Between clusters","Kučka 2021 - F","Fletcher 2019 - F","FALSE"
0.105148123219451,"Within cluster","Kučka 2021 - F","Fletcher 2019 - F","FALSE"
-0.00399708665612881,"Between clusters","Kučka 2021 - F","Fletcher 2019 - F","FALSE"
0.156660495199555,"Within cluster","Kučka 2021 - F","Fletcher 2019 - F","FALSE"
0.0218591950954092,"Between clusters","Kučka 2021 - F","Fletcher 2019 - F","FALSE"
0.0576970823545382,"Within cluster","Ruf-Zamojski 2021 - F","Fletcher 2019 - F","FALSE"
0.023145323022009,"Between clusters","Ruf-Zamojski 2021 - F","Fletcher 2019 - F","FALSE"
0.0390630730878925,"Within cluster","Ruf-Zamojski 2021 - F","Fletcher 2019 - F","FALSE"
0.0114463402470115,"Between clusters","Ruf-Zamojski 2021 - F","Fletcher 2019 - F","FALSE"
0.0205165112011466,"Within cluster","Ruf-Zamojski 2021 - F","Fletcher 2019 - F","FALSE"
0.0284070599207587,"Between clusters","Ruf-Zamojski 2021 - F","Fletcher 2019 - F","FALSE"
0.0169961765474719,"Within cluster","Allensworth 2021 - F","Kučka 2021 - F","FALSE"
0.00788944196157603,"Between clusters","Allensworth 2021 - F","Kučka 2021 - F","FALSE"
0.0132148825812336,"Within cluster","Allensworth 2021 - F","Kučka 2021 - F","FALSE"
0.00622369221039705,"Between clusters","Allensworth 2021 - F","Kučka 2021 - F","FALSE"
0.0495210975212779,"Within cluster","Allensworth 2021 - F","Kučka 2021 - F","FALSE"
0.0128070712367385,"Between clusters","Allensworth 2021 - F","Kučka 2021 - F","FALSE"
0.00479683366697259,"Within cluster","Allensworth 2021 - F","Kučka 2021 - F","FALSE"
0.00164609097953053,"Between clusters","Allensworth 2021 - F","Kučka 2021 - F","FALSE"
0.00193956506639228,"Within cluster","Allensworth 2021 - F","Kučka 2021 - F","FALSE"
0.00416298690528737,"Between clusters","Allensworth 2021 - F","Kučka 2021 - F","FALSE"
0.00466355507302567,"Within cluster","Allensworth 2021 - F","Kučka 2021 - F","FALSE"
0.00671860524449732,"Between clusters","Allensworth 2021 - F","Kučka 2021 - F","FALSE"
0.022085760700234,"Within cluster","Allensworth 2021 - F","Kučka 2021 - F","FALSE"
0.00457533831344882,"Between clusters","Allensworth 2021 - F","Kučka 2021 - F","FALSE"
0.144209823753167,"Within cluster","Fletcher 2019 - F","Kučka 2021 - F","FALSE"
0.0190869433357375,"Between clusters","Fletcher 2019 - F","Kučka 2021 - F","FALSE"
0.0999047431371535,"Within cluster","Fletcher 2019 - F","Kučka 2021 - F","FALSE"
0.017565522406215,"Between clusters","Fletcher 2019 - F","Kučka 2021 - F","FALSE"
0.272072287416157,"Within cluster","Fletcher 2019 - F","Kučka 2021 - F","FALSE"
0.0387597711434449,"Between clusters","Fletcher 2019 - F","Kučka 2021 - F","FALSE"
0.015653854201073,"Within cluster","Fletcher 2019 - F","Kučka 2021 - F","FALSE"
0.0128603299908216,"Between clusters","Fletcher 2019 - F","Kučka 2021 - F","FALSE"
0.0316338068700495,"Within cluster","Fletcher 2019 - F","Kučka 2021 - F","FALSE"
0.0121907188517755,"Between clusters","Fletcher 2019 - F","Kučka 2021 - F","FALSE"
0.079049753522216,"Within cluster","Fletcher 2019 - F","Kučka 2021 - F","FALSE"
0.0252245259460304,"Between clusters","Fletcher 2019 - F","Kučka 2021 - F","FALSE"
0.22439860612523,"Within cluster","Fletcher 2019 - F","Kučka 2021 - F","FALSE"
0.0134509875131876,"Between clusters","Fletcher 2019 - F","Kučka 2021 - F","FALSE"
0.200541124327495,"Within cluster","Kučka 2021 - F","Kučka 2021 - F","TRUE"
0.0266118347141379,"Between clusters","Kučka 2021 - F","Kučka 2021 - F","TRUE"
2.11271737916005e-06,"Random shuffle","Kučka 2021 - F","Kučka 2021 - F","TRUE"
0.148067703235713,"Random shuffle within","Kučka 2021 - F","Kučka 2021 - F","TRUE"
0.174254409617551,"Within cluster","Kučka 2021 - F","Kučka 2021 - F","TRUE"
0.0214230103823939,"Between clusters","Kučka 2021 - F","Kučka 2021 - F","TRUE"
6.0150861664789e-05,"Random shuffle","Kučka 2021 - F","Kučka 2021 - F","TRUE"
0.0960744440812814,"Random shuffle within","Kučka 2021 - F","Kučka 2021 - F","TRUE"
0.372500720092332,"Within cluster","Kučka 2021 - F","Kučka 2021 - F","TRUE"
0.0749741734218318,"Between clusters","Kučka 2021 - F","Kučka 2021 - F","TRUE"
0.000515231587220287,"Random shuffle","Kučka 2021 - F","Kučka 2021 - F","TRUE"
0.246542329305891,"Random shuffle within","Kučka 2021 - F","Kučka 2021 - F","TRUE"
0.181242302389887,"Within cluster","Kučka 2021 - F","Kučka 2021 - F","TRUE"
0.0126808865290075,"Between clusters","Kučka 2021 - F","Kučka 2021 - F","TRUE"
-9.7511239251415e-05,"Random shuffle","Kučka 2021 - F","Kučka 2021 - F","TRUE"
0.163435699023917,"Random shuffle within","Kučka 2021 - F","Kučka 2021 - F","TRUE"
0.101776859708479,"Within cluster","Kučka 2021 - F","Kučka 2021 - F","TRUE"
0.0333649533937236,"Between clusters","Kučka 2021 - F","Kučka 2021 - F","TRUE"
-7.35111523944763e-05,"Random shuffle","Kučka 2021 - F","Kučka 2021 - F","TRUE"
0.0812914695891946,"Random shuffle within","Kučka 2021 - F","Kučka 2021 - F","TRUE"
0.0850237257441674,"Within cluster","Kučka 2021 - F","Kučka 2021 - F","TRUE"
0.0424347882134003,"Between clusters","Kučka 2021 - F","Kučka 2021 - F","TRUE"
