"Correlation","Group","Dataset1","Dataset2","SameDataset"
0.118514233696415,"Within cluster","Cheung2018M","Cheung2018M","TRUE"
-0.0367280080462101,"Between clusters","Cheung2018M","Cheung2018M","TRUE"
-2.04690218991961e-05,"Random shuffle","Cheung2018M","Cheung2018M","TRUE"
0.0575627025313415,"Random shuffle within","Cheung2018M","Cheung2018M","TRUE"
0.087731232348736,"Within cluster","Cheung2018M","Cheung2018M","TRUE"
0.0200715122535769,"Between clusters","Cheung2018M","Cheung2018M","TRUE"
-6.00384895340209e-06,"Random shuffle","Cheung2018M","Cheung2018M","TRUE"
0.0622621308508447,"Random shuffle within","Cheung2018M","Cheung2018M","TRUE"
0.114564946222753,"Within cluster","Cheung2018M","Cheung2018M","TRUE"
0.0134413175307408,"Between clusters","Cheung2018M","Cheung2018M","TRUE"
3.24158668312136e-05,"Random shuffle","Cheung2018M","Cheung2018M","TRUE"
0.089486211328169,"Random shuffle within","Cheung2018M","Cheung2018M","TRUE"
0.270761797055825,"Within cluster","Cheung2018M","Cheung2018M","TRUE"
0.0167765103852551,"Between clusters","Cheung2018M","Cheung2018M","TRUE"
0.000611507344857608,"Random shuffle","Cheung2018M","Cheung2018M","TRUE"
0.204656272701902,"Random shuffle within","Cheung2018M","Cheung2018M","TRUE"
0.175825503217232,"Within cluster","Cheung2018M","Cheung2018M","TRUE"
-0.0149004633174067,"Between clusters","Cheung2018M","Cheung2018M","TRUE"
0.000171664269589729,"Random shuffle","Cheung2018M","Cheung2018M","TRUE"
0.0615490558425075,"Random shuffle within","Cheung2018M","Cheung2018M","TRUE"
0.0380813730648266,"Within cluster","Fletcher2019M","Cheung2018M","FALSE"
0.00518281902214668,"Between clusters","Fletcher2019M","Cheung2018M","FALSE"
0.0122703024497634,"Within cluster","Fletcher2019M","Cheung2018M","FALSE"
0.0120797225436726,"Between clusters","Fletcher2019M","Cheung2018M","FALSE"
0.0288740325897929,"Within cluster","Fletcher2019M","Cheung2018M","FALSE"
0.0141754138733878,"Between clusters","Fletcher2019M","Cheung2018M","FALSE"
0.0280673879246107,"Within cluster","Fletcher2019M","Cheung2018M","FALSE"
0.0208019578183495,"Between clusters","Fletcher2019M","Cheung2018M","FALSE"
0.0218779326705572,"Within cluster","Fletcher2019M","Cheung2018M","FALSE"
0.0100889727678896,"Between clusters","Fletcher2019M","Cheung2018M","FALSE"
0.177883071722776,"Within cluster","Lopez2021M","Cheung2018M","FALSE"
0.0751457388974264,"Between clusters","Lopez2021M","Cheung2018M","FALSE"
0.0962340197312689,"Within cluster","Lopez2021M","Cheung2018M","FALSE"
0.0719049256015903,"Between clusters","Lopez2021M","Cheung2018M","FALSE"
0.0651337030361591,"Within cluster","Lopez2021M","Cheung2018M","FALSE"
0.0638072749346362,"Between clusters","Lopez2021M","Cheung2018M","FALSE"
0.0776467618937697,"Within cluster","Lopez2021M","Cheung2018M","FALSE"
0.0656160363141736,"Between clusters","Lopez2021M","Cheung2018M","FALSE"
0.0937219933706974,"Within cluster","Lopez2021M","Cheung2018M","FALSE"
-0.0231139977762826,"Between clusters","Lopez2021M","Cheung2018M","FALSE"
0.0372558172627878,"Within cluster","Mayran2019M","Cheung2018M","FALSE"
0.00919060221392929,"Between clusters","Mayran2019M","Cheung2018M","FALSE"
0.0305050258599523,"Within cluster","Mayran2019M","Cheung2018M","FALSE"
0.0203292749238593,"Between clusters","Mayran2019M","Cheung2018M","FALSE"
0.0323175596317329,"Within cluster","Mayran2019M","Cheung2018M","FALSE"
0.0187710565572115,"Between clusters","Mayran2019M","Cheung2018M","FALSE"
0.0454041534792762,"Within cluster","Mayran2019M","Cheung2018M","FALSE"
0.0198012954727143,"Between clusters","Mayran2019M","Cheung2018M","FALSE"
0.0551728144457226,"Within cluster","Mayran2019M","Cheung2018M","FALSE"
0.00346769397983864,"Between clusters","Mayran2019M","Cheung2018M","FALSE"
0.0667731732578826,"Within cluster","RufZamojski2021M","Cheung2018M","FALSE"
0.00293194386171749,"Between clusters","RufZamojski2021M","Cheung2018M","FALSE"
0.0484745897824554,"Within cluster","RufZamojski2021M","Cheung2018M","FALSE"
0.0237207694776678,"Between clusters","RufZamojski2021M","Cheung2018M","FALSE"
0.0660615155348025,"Within cluster","RufZamojski2021M","Cheung2018M","FALSE"
0.0220564171910912,"Between clusters","RufZamojski2021M","Cheung2018M","FALSE"
0.112105523341148,"Within cluster","RufZamojski2021M","Cheung2018M","FALSE"
0.0354656529253199,"Between clusters","RufZamojski2021M","Cheung2018M","FALSE"
0.021134709417383,"Within cluster","RufZamojski2021M","Cheung2018M","FALSE"
-0.0108051072633246,"Between clusters","RufZamojski2021M","Cheung2018M","FALSE"
0.0721463620676733,"Within cluster","Vennekens2021M","Cheung2018M","FALSE"
0.0143709152162497,"Between clusters","Vennekens2021M","Cheung2018M","FALSE"
0.0512855743398041,"Within cluster","Vennekens2021M","Cheung2018M","FALSE"
0.0318431146682777,"Between clusters","Vennekens2021M","Cheung2018M","FALSE"
0.0652499307930277,"Within cluster","Vennekens2021M","Cheung2018M","FALSE"
0.0275514762486842,"Between clusters","Vennekens2021M","Cheung2018M","FALSE"
0.144768475466452,"Within cluster","Vennekens2021M","Cheung2018M","FALSE"
0.0216320345435425,"Between clusters","Vennekens2021M","Cheung2018M","FALSE"
0.0984536181979163,"Within cluster","Vennekens2021M","Cheung2018M","FALSE"
0.012906395320671,"Between clusters","Vennekens2021M","Cheung2018M","FALSE"
0.0653325418137192,"Within cluster","Cheung2018M","Fletcher2019M","FALSE"
0.0139943788421997,"Between clusters","Cheung2018M","Fletcher2019M","FALSE"
0.0424857441331892,"Within cluster","Cheung2018M","Fletcher2019M","FALSE"
0.0175448858697832,"Between clusters","Cheung2018M","Fletcher2019M","FALSE"
0.0368306026340431,"Within cluster","Cheung2018M","Fletcher2019M","FALSE"
0.0150391199260744,"Between clusters","Cheung2018M","Fletcher2019M","FALSE"
0.0276242891809263,"Within cluster","Cheung2018M","Fletcher2019M","FALSE"
0.0124888590277666,"Between clusters","Cheung2018M","Fletcher2019M","FALSE"
0.17795379962056,"Within cluster","Fletcher2019M","Fletcher2019M","TRUE"
