"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.80946200773581e-54,0.548282574077928,0.561,0.086,8.67084566718907e-50,"1","Pou1f1"
5.39831629256107e-35,0.379920526656079,0.679,0.198,5.99375057963056e-31,"1","Ptn"
2.55699730604629e-31,0.409954514432357,0.561,0.152,2.83903410890319e-27,"1","Emb"
4.34645815848288e-28,0.450738578047509,0.768,0.292,4.82587249336354e-24,"1","S100a10"
8.72651682756201e-28,0.512524248072905,0.407,0.093,9.6890516336421e-24,"1","Dapl1"
1.5574949167574e-17,0.427355485762738,1,0.976,1.72928660607574e-13,"1","Dlk1"
3.60982142129179e-17,0.343033727899014,0.606,0.257,4.00798472406028e-13,"1","Copz2"
6.81741138995388e-17,0.35803589123826,0.602,0.256,7.56937186626579e-13,"1","Htatsf1"
1.55672076824035e-13,0.258278110837413,0.553,0.237,1.72842706897726e-09,"1","Ctsz"
1.27762047411832e-12,0.27582928562566,0.833,0.43,1.41854201241357e-08,"1","S100a11"
1.34153743121766e-10,0.301977880624663,0.833,0.481,1.48950900988097e-06,"1","Bmyc"
4.0880097753815e-10,0.25084154019744,0.411,0.195,4.53891725360608e-06,"1","Fkbp11"
1.68736087258032e-09,0.334966907860641,0.715,0.414,1.87347677682593e-05,"1","Pam"
4.25389090995173e-09,0.295022427131676,0.724,0.425,4.72309507731941e-05,"1","P4hb"
1.08748142050987e-38,0.787864744604613,0.947,0.84,1.20743062119211e-34,"2","Ndufa4"
1.05675445505218e-25,0.58429029388395,0.992,0.989,1.17331447144444e-21,"2","Prdx1"
5.08758656702589e-25,0.527314845592239,1,1,5.64874736536884e-21,"2","Cox6c"
7.784875447963e-24,0.445452138194396,1,1,8.64354720987332e-20,"2","Gnas"
3.47263039977842e-23,0.465752848283178,1,0.999,3.85566153287398e-19,"2","Cst3"
3.52669846772754e-22,0.50500446398098,1,0.999,3.91569330871789e-18,"2","Bsg"
7.11712671293307e-22,0.538061965005787,0.934,0.858,7.90214578936959e-18,"2","Ndufc1"
