"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Prl",6.55154401730268e-15,0.4191047504248,1,1,7.27417932241117e-11,"0","Prl"
"Itm2b",5.32383551742656e-10,0.293952410455847,0.963,0.922,5.91105457499871e-06,"0","Itm2b"
"Nnat",1.17659986790138e-09,0.26038494556577,0.864,0.66,1.30637883333091e-05,"0","Nnat"
"Cebpd",4.13558601242579e-09,0.326534520600523,0.513,0.358,4.59174114959636e-05,"0","Cebpd"
"Pomc",2.24286691861273e-111,2.48564770168051,1,1,2.49025513973571e-107,"1","Pomc"
"Chga",9.3410559749169e-24,0.68566157645198,0.427,0.165,1.03713744489502e-19,"1","Chga"
"Egr4",6.78862387943519e-19,0.31456050495301,0.211,0.047,7.53740909333689e-15,"1","Egr4"
"Nnat1",1.60693896937889e-38,0.92222693395376,0.916,0.671,1.78418433770138e-34,"2","Nnat"
"Fth1",7.5961273100324e-13,0.382828536155229,0.976,0.935,8.43398015232898e-09,"2","Fth1"
"Gal",8.30414595027951e-07,0.364863464439288,0.227,0.114,0.00922009324859534,"2","Gal"
"Prl1",2.85728270127727e-56,0.683944318643686,1,1,3.17244098322815e-52,"3","Prl"
"Mia",9.62419167268257e-126,1.96873091181732,0.868,0.062,1.06857400141795e-121,"4","Mia"
"Ifitm3",3.10582184152099e-101,1.05376541890131,0.681,0.04,3.44839399064075e-97,"4","Ifitm3"
"Tm4sf1",2.07135980595218e-76,0.615005824625077,0.473,0.021,2.29983079254871e-72,"4","Tm4sf1"
"Id3",2.1424012906992e-72,0.800899607836314,0.429,0.018,2.37870815306332e-68,"4","Id3"
"Klf6",2.43607819665262e-68,0.860545535472472,0.549,0.044,2.7047776217434e-64,"4","Klf6"
"Rbpms",4.9917827708539e-67,0.598654742448427,0.396,0.016,5.54237641047909e-63,"4","Rbpms"
"Cryab",3.46617974969788e-59,0.593893368354702,0.374,0.018,3.84849937608956e-55,"4","Cryab"
"Mgst1",1.0785393160747e-54,0.41328445181408,0.275,0.007,1.19750220263774e-50,"4","Mgst1"
"S100a6",1.7835298344694e-48,0.399005859234378,0.264,0.008,1.98025317521138e-44,"4","S100a6"
"Ier3",2.05829527413465e-41,0.371361144213659,0.253,0.011,2.2853252428717e-37,"4","Ier3"
"Folr1",4.39475215403691e-40,0.297921092904529,0.242,0.01,4.87949331662718e-36,"4","Folr1"
"Igfbp5",2.20398992786307e-39,0.504525959503702,0.341,0.029,2.44709001690637e-35,"4","Igfbp5"
"Cd9",2.52463496294209e-39,0.587766426305691,0.418,0.048,2.80310219935461e-35,"4","Cd9"
"Aldoc",2.48096932066598e-38,0.371500947018254,0.286,0.018,2.75462023673544e-34,"4","Aldoc"
"Klf2",6.3900243711951e-36,0.387043145245684,0.264,0.017,7.09484405933792e-32,"4","Klf2"
"Krt18",8.10938367958521e-34,0.608717794105872,0.473,0.076,9.00384869944346e-30,"4","Krt18"
"Jun",4.77624656240494e-32,1.01664718119759,0.736,0.246,5.30306655823821e-28,"4","Jun"
"Ezr",1.93174817851949e-29,0.491913608879724,0.418,0.067,2.14482000261019e-25,"4","Ezr"
"Pla2g7",6.0114949910813e-27,0.363411248455555,0.286,0.032,6.67456288859757e-23,"4","Pla2g7"
"Clu",2.03413009671859e-26,0.807628867101035,0.659,0.208,2.25849464638665e-22,"4","Clu"
"Crip2",4.97727018914624e-26,0.611393349113058,0.516,0.122,5.52626309100907e-22,"4","Crip2"
"Rasl11a",8.34540548956995e-26,0.459901085717502,0.275,0.031,9.26590371506951e-22,"4","Rasl11a"
"Ly6e",4.01433247447406e-21,0.548988318322117,0.418,0.096,4.45711334640855e-17,"4","Ly6e"
"Gstm1",3.44885889576068e-20,0.339365774488904,0.242,0.032,3.82926803196308e-16,"4","Gstm1"
"Dctn6",1.40520574457093e-19,0.388234962778055,0.33,0.062,1.5601999381971e-15,"4","Dctn6"
"Rhoc",3.17487378464442e-19,0.28095822645998,0.231,0.03,3.5250623630907e-15,"4","Rhoc"
"S100a10",4.37072911259072e-17,0.45297874111275,0.396,0.102,4.85282053370948e-13,"4","S100a10"
"Ier2",7.81955516508849e-16,0.733949821859854,0.956,0.797,8.68205209979775e-12,"4","Ier2"
"Ptma",1.86857291071703e-15,0.754055470724919,0.846,0.571,2.07467650276912e-11,"4","Ptma"
"Prdx1",3.59120545649696e-15,0.752619856908312,0.78,0.447,3.98731541834857e-11,"4","Prdx1"
"Actg1",9.97236284514808e-14,0.617627443815619,0.912,0.714,1.10723144669679e-09,"4","Actg1"
"Fos",1.41342939744607e-13,0.572793007621426,1,0.959,1.56933065998438e-09,"4","Fos"
"Atp1b1",3.15085925307667e-11,0.372409995616373,0.396,0.139,3.49839902869103e-07,"4","Atp1b1"
"Atf3",3.2939477231898e-11,0.634031988449447,0.549,0.259,3.65727015705764e-07,"4","Atf3"
"Ifitm2",1.28938288400153e-10,0.307745044917688,0.275,0.076,1.4316018161069e-06,"4","Ifitm2"
"Egr1",3.1154299751852e-10,0.498568876922032,0.604,0.315,3.45906190144813e-06,"4","Egr1"
"Actb",4.37089573110548e-10,0.537761325930893,0.637,0.348,4.85300553024641e-06,"4","Actb"
"Mt11",7.29584591554348e-10,0.637356749746671,0.879,0.668,8.10057772002793e-06,"4","Mt1"
"Psap",3.20792690636257e-09,0.365291203290976,0.319,0.113,3.56176124413437e-05,"4","Psap"
"Tmem176b",9.91527996183312e-09,0.546155946317823,0.582,0.336,0.000110089353416233,"4","Tmem176b"
"Hspb1",1.14565391031496e-07,0.393689392870164,0.44,0.201,0.0012720195366227,"4","Hspb1"
"Ppp1r15a",1.77813100886543e-07,0.298202761915583,0.363,0.154,0.00197425885914329,"4","Ppp1r15a"
"Jund",3.36202941873687e-07,0.429437326012643,0.703,0.474,0.00373286126362355,"4","Jund"
"Ppib",6.28373946797291e-07,0.265010227478503,0.253,0.092,0.00697683593129032,"4","Ppib"
"Gnas",2.06267754367527e-06,0.366155985082399,0.934,0.87,0.0229019087674265,"4","Gnas"
"Nnat2",3.57340363933574e-06,0.588627728776166,1,0.709,0.0396755006075447,"5","Nnat"
"Gnrhr",2.54388115041006e-73,0.578108829680094,0.409,0.004,2.82447124130029e-69,"6","Gnrhr"
"Spp1",8.87026666406399e-27,0.339930512666776,0.227,0.006,9.84865707711025e-23,"6","Spp1"
"Cga",4.25350958875177e-24,5.76023763476478,1,0.276,4.72267169639109e-20,"6","Cga"
"Aebp1",1.62361313635846e-23,0.376956845995917,0.318,0.015,1.8026976652988e-19,"6","Aebp1"
