"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pou1f1",7.80946200773538e-54,0.548282574077928,0.561,0.086,8.67084566718859e-50,"0","Pou1f1"
"Ptn",5.39831629256107e-35,0.379920526656079,0.679,0.198,5.99375057963056e-31,"0","Ptn"
"Emb",2.55699730604629e-31,0.409954514432357,0.561,0.152,2.83903410890319e-27,"0","Emb"
"S100a10",4.34645815848288e-28,0.450738578047509,0.768,0.292,4.82587249336354e-24,"0","S100a10"
"Dapl1",8.72651682756201e-28,0.512524248072905,0.407,0.093,9.6890516336421e-24,"0","Dapl1"
"Dlk1",1.5574949167574e-17,0.427355485762738,1,0.976,1.72928660607574e-13,"0","Dlk1"
"Copz2",3.60982142129184e-17,0.343033727899014,0.606,0.257,4.00798472406034e-13,"0","Copz2"
"Htatsf1",6.81741138995388e-17,0.35803589123826,0.602,0.256,7.56937186626579e-13,"0","Htatsf1"
"Ctsz",1.55672076824035e-13,0.258278110837413,0.553,0.237,1.72842706897726e-09,"0","Ctsz"
"S100a11",1.27762047411832e-12,0.27582928562566,0.833,0.43,1.41854201241357e-08,"0","S100a11"
"Bmyc",1.34153743121765e-10,0.301977880624663,0.833,0.481,1.48950900988096e-06,"0","Bmyc"
"Fkbp11",4.0880097753815e-10,0.25084154019744,0.411,0.195,4.53891725360608e-06,"0","Fkbp11"
"Pam",1.68736087258031e-09,0.334966907860641,0.715,0.414,1.87347677682592e-05,"0","Pam"
"P4hb",4.25389090995175e-09,0.295022427131676,0.724,0.425,4.72309507731943e-05,"0","P4hb"
"Ndufa4",1.08748142050987e-38,0.787864744604613,0.947,0.84,1.20743062119211e-34,"1","Ndufa4"
"Prdx1",1.05675445505218e-25,0.58429029388395,0.992,0.989,1.17331447144444e-21,"1","Prdx1"
"Cox6c",5.08758656702589e-25,0.527314845592239,1,1,5.64874736536884e-21,"1","Cox6c"
"Gnas",7.784875447963e-24,0.445452138194396,1,1,8.64354720987332e-20,"1","Gnas"
"Cst3",3.47263039977842e-23,0.465752848283178,1,0.999,3.85566153287398e-19,"1","Cst3"
"Bsg",3.52669846772754e-22,0.50500446398098,1,0.999,3.91569330871789e-18,"1","Bsg"
"Ndufc1",7.11712671293307e-22,0.538061965005787,0.934,0.858,7.90214578936959e-18,"1","Ndufc1"
"Cox7c",1.15147013036993e-21,0.458801860463138,1,0.997,1.27847728574974e-17,"1","Cox7c"
"Ly6h",2.64617472492031e-21,0.488296698538954,1,0.994,2.93804779707902e-17,"1","Ly6h"
"Ndufa2",2.6478885782725e-21,0.453537858724969,0.996,0.985,2.93995068845596e-17,"1","Ndufa2"
"H3f3a",6.86648988236298e-21,0.556462658694484,0.959,0.959,7.62386371638761e-17,"1","H3f3a"
"Nnat",2.54519244004083e-20,0.581893369180758,1,1,2.82592716617733e-16,"1","Nnat"
"Atp6v0c",5.49414540623598e-20,0.448339953975778,1,0.999,6.1001496445438e-16,"1","Atp6v0c"
