"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rab3b",2.72725336201514e-53,0.705352579525614,1,0.969,3.02806940784541e-49,"0","Rab3b"
"Fos",2.89812315423525e-53,1.55823999118678,0.964,0.809,3.2177861381474e-49,"0","Fos"
"Ubc",5.06627681123761e-32,0.867312027493366,0.958,0.865,5.62508714351712e-28,"0","Ubc"
"Hspa8",5.59558551345693e-28,0.569651772512615,0.991,0.929,6.21277859559123e-24,"0","Hspa8"
"Tuba1b",7.42231785359066e-27,0.488006257857589,1,0.998,8.24099951284171e-23,"0","Tuba1b"
"Socs3",1.86366523966628e-26,1.18733602667888,0.62,0.259,2.06922751560148e-22,"0","Socs3"
"Prnp",8.10528034124705e-26,0.409268020828104,1,0.967,8.9992927628866e-22,"0","Prnp"
"Ly6h",1.45720935948144e-25,0.547850332693523,1,0.984,1.61793955183225e-21,"0","Ly6h"
"Dnajb1",2.52102920861854e-25,1.22663097264274,0.746,0.459,2.79909873032916e-21,"0","Dnajb1"
"Clu",6.23682084044935e-25,0.479941020931536,1,0.998,6.92474217915091e-21,"0","Clu"
"Cdo1",1.1752189097532e-23,0.857646068376517,0.856,0.623,1.30484555549898e-19,"0","Cdo1"
"Zfp36",5.39127785003961e-23,1.19919918949456,0.515,0.215,5.98593579689898e-19,"0","Zfp36"
"Gnb2",1.01892146732182e-22,0.379219239107165,0.997,0.982,1.13130850516742e-18,"0","Gnb2"
"Egr1",6.15422663542677e-22,0.913272271900943,0.677,0.384,6.83303783331435e-18,"0","Egr1"
"Stmn3",7.00306058412886e-22,0.541322786136346,0.994,0.9,7.77549816655828e-18,"0","Stmn3"
"Crhr1",1.00195927287893e-20,0.486521352058308,0.919,0.754,1.11247538067747e-16,"0","Crhr1"
"Tsc22d1",1.59780076683894e-20,0.634646248654651,0.907,0.754,1.77403819142128e-16,"0","Tsc22d1"
"Doc2g",2.48883828981039e-20,0.513157909420041,0.988,0.933,2.76335715317648e-16,"0","Doc2g"
"Armcx6",4.3342177770504e-20,0.48088036424205,0.964,0.716,4.81228199785905e-16,"0","Armcx6"
"Psme2",6.25569327978031e-20,0.468366056220511,0.979,0.92,6.94569624854008e-16,"0","Psme2"
"Actb",6.7291759138341e-20,0.513459003145816,0.997,0.998,7.47140401713e-16,"0","Actb"
"Os9",8.09040561669909e-20,0.427144544609227,0.737,0.424,8.982777356221e-16,"0","Os9"
"Pja1",3.76174986039375e-19,0.516347792743473,0.793,0.508,4.17667086999518e-15,"0","Pja1"
"Irf1",4.66591289285634e-19,0.518395944419279,0.71,0.428,5.18056308493839e-15,"0","Irf1"
"Nell2",1.46568867293904e-18,0.49119930671051,0.817,0.543,1.62735413356422e-14,"0","Nell2"
"Ubb",1.97609185095243e-18,0.310375786669035,1,1,2.19405478211248e-14,"0","Ubb"
"Snca",4.66801914505827e-18,0.465138244598031,0.919,0.745,5.18290165675819e-14,"0","Snca"
"Tusc3",9.21772278575836e-18,0.396730319998781,0.991,0.885,1.02344376090275e-13,"0","Tusc3"
"Myl6",1.13086489918426e-17,0.315657404322706,1,0.998,1.25559929756428e-13,"0","Myl6"
"Ucp2",1.23084725074852e-17,0.355628599095954,1,0.991,1.36660970250608e-13,"0","Ucp2"
"Hspa5",2.95841547975683e-17,0.461293706950925,0.904,0.774,3.28472870717401e-13,"0","Hspa5"
"Hs3st1",4.19396835707235e-17,0.402560745683354,0.683,0.392,4.65656306685743e-13,"0","Hs3st1"
"Gadd45g",5.0428300648871e-17,1.18579592848205,0.539,0.271,5.59905422104415e-13,"0","Gadd45g"
