"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ly6h",8.29890119569814e-29,0.450700244311021,1,0.994,9.21426999758365e-25,"0","Ly6h"
"Sec11c",5.25702715708736e-21,0.352726366513783,1,0.993,5.83687725251409e-17,"0","Sec11c"
"Stmn1",8.96338813395168e-21,0.332768899856123,1,1,9.95204984512655e-17,"0","Stmn1"
"Doc2g",4.21426066980111e-20,0.437186301162311,0.992,0.884,4.67909362168017e-16,"0","Doc2g"
"Rab3b",1.2350943605585e-15,0.275262262407086,1,0.989,1.3713252685281e-11,"0","Rab3b"
"Ostf1",1.78778982306474e-13,0.259610282346227,0.511,0.285,1.98498304054878e-09,"0","Ostf1"
"Rab25",2.17310440155035e-11,0.272877933501294,0.753,0.526,2.41279781704135e-07,"0","Rab25"
"Sncb",7.35445463368347e-11,0.304716749222558,0.818,0.623,8.16565097977876e-07,"0","Sncb"
"Psme2",7.85888999995124e-10,0.271793485897315,0.987,0.968,8.72572556694586e-06,"0","Psme2"
"Psmb8",9.53843828504533e-10,0.304849612693058,0.755,0.57,1.05905280278858e-05,"0","Psmb8"
"Armcx6",1.15490608800151e-09,0.314327754198324,0.863,0.718,1.28229222950807e-05,"0","Armcx6"
"Ndn",3.58633735553848e-09,0.299753212318758,0.805,0.601,3.98191036585437e-05,"0","Ndn"
"Pcp4",5.3794975738095e-09,0.275728764148611,0.934,0.908,5.97285615620069e-05,"0","Pcp4"
"Nudt8",5.47112639898457e-09,0.300067492441533,0.921,0.794,6.07459164079257e-05,"0","Nudt8"
"Wfdc2",5.97994634264163e-09,0.293982511023661,0.924,0.805,6.639534424235e-05,"0","Wfdc2"
"Snca",1.53230168060301e-08,0.293086956702288,0.874,0.735,0.000170131455597352,"0","Snca"
"Resp18",1.70905774462852e-08,0.25970146712939,1,0.999,0.000189756681386105,"0","Resp18"
"Avpr1b",2.18327539854386e-08,0.259248143568145,0.839,0.689,0.000242409067500325,"0","Avpr1b"
"Nnat",3.82179329308281e-08,0.5759421260396,0.803,0.696,0.000424333709330984,"0","Nnat"
"Cdo1",5.78801031660042e-08,0.263038358937392,0.811,0.611,0.000642642785452144,"0","Cdo1"
"Tmem38a",1.37410380603984e-07,0.250091204266233,0.758,0.625,0.00152566745584603,"0","Tmem38a"
"Fam89a",1.82248138336964e-07,0.327435745425973,0.895,0.764,0.00202350107995531,"0","Fam89a"
"Ddit4l",2.01716648914905e-07,0.272820211461547,0.718,0.547,0.00223965995290219,"0","Ddit4l"
"Hes6",7.6738122126576e-07,0.308431034417915,0.874,0.717,0.00852023369971373,"0","Hes6"
"Tpi1",3.18031328876672e-06,0.25045311209195,0.792,0.703,0.0353110184451769,"0","Tpi1"
"Fos",5.78175030914732e-116,2.04497849158745,1,0.727,6.41947736824627e-112,"1","Fos"
"Egr1",2.78232628590791e-80,1.72414476407439,0.85,0.363,3.08921687524355e-76,"1","Egr1"
"Btg2",2.85488270763827e-66,1.86544196598803,0.844,0.433,3.16977627029077e-62,"1","Btg2"
"Ubc",2.87795855662004e-54,1.01726548413666,1,0.924,3.19539738541523e-50,"1","Ubc"
"Hspa8",1.84571851342792e-49,0.688520854343668,1,0.968,2.04930126545902e-45,"1","Hspa8"
"Zfp36",4.04896281977883e-49,1.71178416416752,0.717,0.343,4.49556341880044e-45,"1","Zfp36"
"Egr2",1.61378693839842e-43,0.840008607529305,0.389,0.063,1.79178763770377e-39,"1","Egr2"
"Dnajb1",1.85750768588548e-42,1.3224822726819,0.875,0.619,2.06239078363865e-38,"1","Dnajb1"
"Socs3",3.62031717582351e-40,1.29451705493702,0.717,0.375,4.01963816031684e-36,"1","Socs3"
"Fosb",2.31843168908574e-38,1.32242549227948,0.741,0.381,2.57415470439189e-34,"1","Fosb"
"Ubb",1.12976299874108e-36,0.45876344300022,1,1,1.25437585750222e-32,"1","Ubb"
"Cebpd",2.14963900061868e-33,1.23535706706086,0.723,0.447,2.38674418238692e-29,"1","Cebpd"
"Gadd45g",1.17227555581862e-31,1.68251140484162,0.688,0.421,1.30157754962541e-27,"1","Gadd45g"
"Hsp90aa1",2.04094749278386e-28,0.836738914414765,0.984,0.918,2.26606400123792e-24,"1","Hsp90aa1"
"Jun",2.36963169693429e-28,1.11549234615011,0.76,0.495,2.63100207310614e-24,"1","Jun"
"Tuba1b",9.68341998226096e-28,0.438850897377911,1,0.999,1.07515012063043e-23,"1","Tuba1b"
"Ier2",1.408653247852e-26,1.46051984002152,0.542,0.286,1.56402770109008e-22,"1","Ier2"
"H3f3a",3.31874211265371e-26,0.552609332849744,1,0.997,3.68479936767942e-22,"1","H3f3a"
"Ccnl1",9.2763627902237e-23,0.496305982171834,0.474,0.2,1.02995456059854e-18,"1","Ccnl1"
"Rgs2",1.59867063285591e-22,1.33220331962654,0.67,0.407,1.77500400365991e-18,"1","Rgs2"
"Ddx5",7.40388992391481e-22,0.421328823036219,0.975,0.941,8.22053898252262e-18,"1","Ddx5"
"Atf3",7.70009549170882e-22,0.808544451650909,0.262,0.061,8.5494160244443e-18,"1","Atf3"
"Bhlhe40",8.38596876159303e-21,0.558085914263367,0.486,0.218,9.31094111599674e-17,"1","Bhlhe40"
"Klf4",1.07781662131583e-20,0.506252318040949,0.237,0.049,1.19669979464696e-16,"1","Klf4"
"Atf4",1.53310760227598e-20,0.675075323278717,0.782,0.61,1.70220937080702e-16,"1","Atf4"
"Klf9",2.40239947679524e-20,0.569992465449707,0.769,0.534,2.66738413908575e-16,"1","Klf9"
"Taf7",5.08530516101947e-20,0.45861615783219,0.564,0.291,5.64621432027991e-16,"1","Taf7"
"Btg1",2.35816038569555e-19,0.631895808975877,0.695,0.479,2.61826547623777e-15,"1","Btg1"
"Pja1",4.25773381989623e-19,0.510183613085156,0.763,0.522,4.72736186023079e-15,"1","Pja1"
"Eno2",1.67807089241228e-18,0.462244998519993,0.854,0.677,1.86316211184536e-14,"1","Eno2"
"Ucp2",6.95113498900216e-18,0.322463322332318,1,0.995,7.7178451782891e-14,"1","Ucp2"
"Irf1",2.22247158122986e-17,0.50361735518156,0.695,0.448,2.46761019663951e-13,"1","Irf1"
"Wdr6",7.42930888972641e-17,0.369968614343217,0.947,0.847,8.24876166026323e-13,"1","Wdr6"
"Eif1",2.66438500987369e-16,0.292020178908956,1,1,2.95826667646276e-12,"1","Eif1"
"Ddit3",5.79252916768234e-16,0.688520854343668,0.648,0.466,6.4314451348777e-12,"1","Ddit3"
"Nr4a1",7.51277257563471e-16,0.708605100387001,0.371,0.169,8.34143139072721e-12,"1","Nr4a1"
"Psme1",1.14170943214112e-15,0.349902804680714,1,0.994,1.26763998250628e-11,"1","Psme1"
"Nr4a2",1.85903336892932e-15,0.564094005251043,0.346,0.144,2.06408474952222e-11,"1","Nr4a2"
"Coq10b",2.45737762394349e-15,0.421366982000471,0.411,0.186,2.72842637586446e-11,"1","Coq10b"
"Gnb2",9.60563577191471e-15,0.274554795916811,1,0.996,1.06651373975569e-10,"1","Gnb2"
"Prr15l",3.59579149716622e-14,0.399162107290861,0.804,0.601,3.99240729930366e-10,"1","Prr15l"
"Ly6h1",5.38819331909216e-14,0.397319275088569,1,0.995,5.98251104218803e-10,"1","Ly6h"
"Slc25a25",5.94746331900973e-14,0.389892847180135,0.405,0.196,6.60346852309651e-10,"1","Slc25a25"
"Akr1a1",9.44000715355371e-14,0.266065883502341,1,0.99,1.04812399425907e-09,"1","Akr1a1"
"Hsp90ab1",1.02216949466912e-13,0.270575020477481,1,1,1.13491478993112e-09,"1","Hsp90ab1"
"Pcsk1n",1.30077018184247e-13,0.300269154446044,1,1,1.4442451328997e-09,"1","Pcsk1n"
"Tiparp",2.01243752633537e-13,0.404225994081314,0.29,0.117,2.23440938549017e-09,"1","Tiparp"
"Actg1",2.41531891419096e-13,0.580490386627299,0.907,0.843,2.68172859042622e-09,"1","Actg1"
"Actb",2.92429073549013e-13,0.374924440072891,1,0.994,3.2468400036147e-09,"1","Actb"
"Cnbp",5.74312665731046e-13,0.308644194645241,0.938,0.883,6.3765935276118e-09,"1","Cnbp"
"Six1",6.11634464806608e-13,0.35388892896286,0.688,0.476,6.79097746274777e-09,"1","Six1"
"Nell2",1.12824345695631e-12,0.379377272297937,0.794,0.626,1.25268871025859e-08,"1","Nell2"
"Lamp1",1.30195835177077e-12,0.311564907251881,0.988,0.99,1.44556435797109e-08,"1","Lamp1"
"Rab3b1",1.40622310397833e-12,0.347502597557759,1,0.99,1.56132951234714e-08,"1","Rab3b"
"Isca1",1.54422617317656e-12,0.34759576899894,0.676,0.492,1.71455432007793e-08,"1","Isca1"
"Cdo11",1.73882831824652e-12,0.680558602958708,0.791,0.634,1.93062108174911e-08,"1","Cdo1"
"Hspa13",4.43969772450879e-12,0.331736720404605,0.654,0.46,4.92939638352211e-08,"1","Hspa13"
"Tcp1",5.23543884476608e-12,0.322860149539779,0.639,0.45,5.81290774934377e-08,"1","Tcp1"
"Hadhb",8.33316675321803e-12,0.326028781665886,0.688,0.497,9.25231504609798e-08,"1","Hadhb"
"Psmb10",8.83449307809738e-12,0.378678129027219,0.822,0.668,9.80893766461152e-08,"1","Psmb10"
"Adam9",9.08434287827218e-12,0.251838361024845,0.268,0.106,1.00863458977456e-07,"1","Adam9"
"Gmpr2",9.8498962374298e-12,0.562657898362409,0.505,0.313,1.09363397924183e-07,"1","Gmpr2"
"Tsc22d1",1.20089808174488e-11,0.496856443545461,0.869,0.816,1.33335714016134e-07,"1","Tsc22d1"
"Atp1b1",1.2224000935535e-11,0.330029604971199,0.953,0.947,1.35723082387245e-07,"1","Atp1b1"
"Nt5c2",1.47905525812812e-11,0.284858144929482,0.576,0.38,1.64219505309966e-07,"1","Nt5c2"
"Klf6",1.95089188385976e-11,0.546271728876605,0.442,0.26,2.16607525864949e-07,"1","Klf6"
"Pcna",5.07074601764709e-11,0.293496581500514,0.614,0.414,5.63004930339357e-07,"1","Pcna"
"Eno1",5.30527193357904e-11,0.295860063981011,0.922,0.869,5.8904434278528e-07,"1","Eno1"
"Pcmt1",6.91749066661952e-11,0.299858770489122,0.816,0.657,7.68048988714765e-07,"1","Pcmt1"
"G3bp1",7.8234780913027e-11,0.293527736947682,0.773,0.593,8.68640772477339e-07,"1","G3bp1"
"Hspa5",9.48011178492493e-11,0.303312709375585,0.944,0.87,1.05257681148021e-06,"1","Hspa5"
"Mat2a",1.42869593431839e-10,0.274980703451327,0.361,0.183,1.58628109587371e-06,"1","Mat2a"
"Tmem140",2.232907289913e-10,0.390115022439046,0.474,0.287,2.4791969639904e-06,"1","Tmem140"
"Chchd3",2.27179321941413e-10,0.250834616119624,0.676,0.456,2.52237201151551e-06,"1","Chchd3"
"Tpm3",4.25373446929596e-10,0.303619073038143,0.754,0.598,4.7229213812593e-06,"1","Tpm3"
"Hnrnpab",4.44880333794713e-10,0.376228917232381,0.629,0.47,4.9395063461227e-06,"1","Hnrnpab"
"Dnaja1",4.53446750548143e-10,0.356376363413169,0.829,0.714,5.03461927133604e-06,"1","Dnaja1"
"Fem1a",6.88886943534437e-10,0.739298590492976,0.576,0.428,7.64871173406286e-06,"1","Fem1a"
"Avpr1b1",6.88896693153367e-10,0.309543770514554,0.838,0.701,7.64881998408183e-06,"1","Avpr1b"
"Stmn11",7.09807800251695e-10,0.314277450379001,1,1,7.88099600619457e-06,"1","Stmn1"
"Anxa6",7.59869942901023e-10,0.274520146371314,0.698,0.522,8.43683597603006e-06,"1","Anxa6"
"Got2",7.87637984106066e-10,0.2791937754613,0.829,0.693,8.74514453752966e-06,"1","Got2"
