"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fos",4.3379193623474e-187,1.68946606868928,0.996,0.871,4.81639186801432e-183,"0","Fos"
"Dnajb1",3.12669559948651e-136,1.51171599159989,0.929,0.629,3.47157012410987e-132,"0","Dnajb1"
"Ubb",3.07215297753369e-128,0.700642692699759,1,1,3.41101145095566e-124,"0","Ubb"
"Ubc",8.14047378736998e-123,1.12103663712757,0.991,0.955,9.03836804611688e-119,"0","Ubc"
"Socs3",2.0182172838569e-103,1.47178330345249,0.722,0.286,2.24082665026632e-99,"0","Socs3"
"Hsp90aa1",8.00506675512914e-99,1.00487732870444,0.981,0.949,8.88802561821988e-95,"0","Hsp90aa1"
"Egr1",1.31214046054444e-94,1.15936356191284,0.872,0.617,1.45686955334249e-90,"0","Egr1"
"Rab3b",2.35014216851858e-87,0.665812303084363,0.991,0.891,2.60936284970618e-83,"0","Rab3b"
"Ly6h",4.00443278574068e-86,0.727036402804972,0.999,0.941,4.44612172200787e-82,"0","Ly6h"
"Zfp36",4.15253281666848e-81,1.10897403867407,0.593,0.209,4.61055718634701e-77,"0","Zfp36"
"Tuba1b",4.97108079307722e-76,0.649649280814037,0.996,0.987,5.51939100455364e-72,"0","Tuba1b"
"Hsp90ab1",7.20503117552052e-75,0.543747346633617,1,0.999,7.99974611418043e-71,"0","Hsp90ab1"
"Jun",1.46243914898158e-69,1.0396705159011,0.844,0.624,1.62374618711425e-65,"0","Jun"
"Hspa8",8.88077208849705e-68,0.688989888386624,0.955,0.884,9.86032124985827e-64,"0","Hspa8"
"H3f3a",1.13412092586251e-66,0.711648779755861,0.994,0.988,1.25921446398514e-62,"0","H3f3a"
"Cebpd",3.76688682897744e-59,1.06446847136599,0.644,0.34,4.18237444621365e-55,"0","Cebpd"
"Btg2",5.3251342760802e-57,1.14292637429047,0.827,0.663,5.91249658673184e-53,"0","Btg2"
