"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cga",6.3091437639078e-24,1.26792712744447,1,1,7.00504232106683e-20,"0","Cga"
"Prl",9.22778354396634e-20,0.886261459141227,1,1,1.02456080688658e-15,"0","Prl"
"B2m",2.39480515156233e-15,0.668653539351944,0.826,0.381,2.65895215977965e-11,"0","B2m"
"Itm2b",7.23683205819153e-13,0.664969672154641,1,1,8.03505463421005e-09,"0","Itm2b"
"Dlk1",1.02583097182636e-12,0.83050334619617,0.991,0.736,1.13898012801881e-08,"0","Dlk1"
"Chgb",4.69989380339079e-10,0.932012862196858,1,0.95,5.2182920899048e-06,"0","Chgb"
"Pou1f1",3.94675971076363e-07,0.425848703881773,0.278,0.079,0.00438208730686086,"0","Pou1f1"
"Hspa5",7.19808046093195e-07,0.55678760693714,0.991,0.929,0.00799202873577274,"0","Hspa5"
"Itm2c",9.15116832471273e-07,0.470414256315217,0.948,0.732,0.0101605421909285,"0","Itm2c"
"Emb",9.96485869581059e-07,0.512386526790533,0.304,0.109,0.0110639826099585,"0","Emb"
"Fth1",2.72428699265091e-20,0.793498236575251,1,1,3.02477584794031e-16,"2","Fth1"
"Mt1",1.72519034345813e-19,1.21738880776534,1,0.948,1.91547883834157e-15,"2","Mt1"
"Cidea",9.11203681414645e-17,1.30201491397568,0.94,0.638,1.01170944747468e-12,"2","Cidea"
"Chchd2",6.41032633941074e-16,0.66068780930151,1,0.993,7.11738533464774e-12,"2","Chchd2"
"Crem",6.90277621370854e-15,1.16567239691615,0.867,0.435,7.6641524300806e-11,"2","Crem"
"Obsl1",4.10320437869047e-14,0.914836644161644,0.747,0.336,4.55578782166003e-10,"2","Obsl1"
"Cox7c",1.03424673713593e-13,0.648215920953379,1,0.967,1.14832415224202e-09,"2","Cox7c"
"Tbx19",7.88716048393923e-13,0.718039170165206,0.855,0.45,8.75711428531772e-09,"2","Tbx19"
"Lmna",1.46850122836697e-12,0.532022903448856,0.639,0.218,1.63047691385585e-08,"2","Lmna"
"Mcub",3.15848900307821e-12,0.675015980297094,0.976,0.79,3.50687034011774e-08,"2","Mcub"
"Ccnd2",3.50904186234691e-12,0.74132532534486,0.988,0.941,3.89608917976377e-08,"2","Ccnd2"
"Rpl27",6.76422876102496e-12,0.562183844595318,1,0.959,7.51032319336601e-08,"2","Rpl27"
"Ndufab1",7.1787688168347e-12,0.59950063592035,0.976,0.568,7.97058701733157e-08,"2","Ndufab1"
"Sf3b4",2.20196897373185e-11,0.600757628834613,0.723,0.317,2.44484615153448e-07,"2","Sf3b4"
"Hmgn1",2.68125655802916e-11,0.610337720904512,0.988,0.797,2.97699915637977e-07,"2","Hmgn1"
"Erh",3.14756200051203e-11,0.513937327585492,0.735,0.314,3.4947380891685e-07,"2","Erh"
"Rpl17",4.83110327853252e-11,0.529159016987137,1,0.993,5.36397397015465e-07,"2","Rpl17"
"Znhit1",1.15200051688882e-10,0.610894294747644,0.783,0.406,1.27906617390166e-06,"2","Znhit1"
"Rpl30",1.16147213620047e-10,0.572134912567751,0.976,0.956,1.28958251282339e-06,"2","Rpl30"
"Cycs",1.21713565094418e-10,0.609315796058983,0.819,0.421,1.35138571324333e-06,"2","Cycs"
"Uqcr10",1.37775077462171e-10,0.591632392587011,0.964,0.734,1.52971668506248e-06,"2","Uqcr10"
"Uqcrq",1.39623771745232e-10,0.632504674002539,0.952,0.679,1.55024273768732e-06,"2","Uqcrq"
"Pmvk",1.60047922976121e-10,0.836744890423542,0.711,0.358,1.77701208880387e-06,"2","Pmvk"
"Ranbp1",1.62197637698314e-10,0.587730050362211,0.94,0.561,1.80088037136438e-06,"2","Ranbp1"
"Rps14",1.80959204371882e-10,0.531326397944071,1,1,2.009190046141e-06,"2","Rps14"
"Dbi",1.91510032535927e-10,0.735868602988371,0.88,0.535,2.1263358912464e-06,"2","Dbi"
"Gapdh",1.98535937520366e-10,0.641421706939705,0.94,0.827,2.20434451428863e-06,"2","Gapdh"
"Tpm4",1.99914823817346e-10,0.605414212937596,0.602,0.236,2.21965428884399e-06,"2","Tpm4"
"Oaz1",2.26977523572838e-10,0.501775173233301,1,0.996,2.52013144422922e-06,"2","Oaz1"
"Anp32b",3.15649131031273e-10,0.656335042773821,0.94,0.609,3.50465230184022e-06,"2","Anp32b"
"Rps18",3.80165827727756e-10,0.46023871502358,1,0.993,4.22098118526128e-06,"2","Rps18"
"Ndufa5",5.77089266976342e-10,0.603486978932789,0.94,0.642,6.40742213123832e-06,"2","Ndufa5"
"Eif4a1",5.87418067333716e-10,0.636563799112967,0.952,0.878,6.52210280160624e-06,"2","Eif4a1"
"Rpl13",5.9582994748708e-10,0.452492644684876,1,0.996,6.61549990694905e-06,"2","Rpl13"
"Rpl9",6.10888262988537e-10,0.504114073379071,1,0.993,6.78269238396172e-06,"2","Rpl9"
"Pfdn5",6.54034951082166e-10,0.527350248460059,1,0.959,7.26175006186529e-06,"2","Pfdn5"
"Max",7.9160824740524e-10,0.516778397902797,0.602,0.244,8.78922637094038e-06,"2","Max"
"Cox6b1",8.10128773412138e-10,0.563234397445297,0.988,0.915,8.99485977119497e-06,"2","Cox6b1"
"Swi5",8.66262755518309e-10,0.517702051170555,1,0.93,9.61811537451979e-06,"2","Swi5"
"Bloc1s2",1.09219881399677e-09,0.348999178812938,0.482,0.148,1.21266834318062e-05,"2","Bloc1s2"
"Rplp1",1.23429504252373e-09,0.436641114476132,1,0.985,1.3704377857141e-05,"2","Rplp1"
"Dynll1",1.24180663851685e-09,0.567357646463995,0.976,0.871,1.37877791074526e-05,"2","Dynll1"
"Timm10",1.30516268951085e-09,0.41809613759232,0.506,0.181,1.44912213416389e-05,"2","Timm10"
"Fis1",1.35970948168692e-09,0.560623521529463,0.88,0.52,1.50968543751699e-05,"2","Fis1"
"Rab6a",1.3893753516646e-09,0.589211356541605,0.807,0.461,1.5426234529532e-05,"2","Rab6a"
"Ndufa7",1.50326295081731e-09,0.517241616735125,1,0.852,1.66907285429246e-05,"2","Ndufa7"
"Pfdn2",1.83054363689661e-09,0.556866974426334,0.976,0.664,2.0324526000463e-05,"2","Pfdn2"
"Calm2",1.92503973661036e-09,0.525830334191265,1,0.989,2.13737161955848e-05,"2","Calm2"
"Mrpl20",2.16551150850468e-09,0.528772368748434,0.819,0.45,2.40436742789275e-05,"2","Mrpl20"
"Bmyc",3.16898796920723e-09,0.890862135617458,0.904,0.738,3.51852734221078e-05,"2","Bmyc"
"Aurkaip1",3.22367828635751e-09,0.474012488327257,0.867,0.483,3.57925000134274e-05,"2","Aurkaip1"
"Ccdc12",3.40305203694119e-09,0.47477895161438,0.759,0.376,3.7784086766158e-05,"2","Ccdc12"
"Uchl1",3.65927680151315e-09,0.600956057691525,0.711,0.365,4.06289503272005e-05,"2","Uchl1"
"Rps21",3.67186500881646e-09,0.459850268728554,1,0.985,4.07687171928892e-05,"2","Rps21"
"Gga2",3.73830964538964e-09,0.345922084672357,0.349,0.085,4.15064519927612e-05,"2","Gga2"
"Ndufa8",3.9532914282601e-09,0.53938216426888,0.952,0.598,4.38933947279719e-05,"2","Ndufa8"
"Bpnt1",4.12108228355402e-09,0.506645027605252,0.602,0.258,4.57563765943002e-05,"2","Bpnt1"
"Snrpb",4.83169174034262e-09,0.52988652657262,0.831,0.513,5.36462733930241e-05,"2","Snrpb"
"Rnf7",5.09068955315035e-09,0.529001404316607,0.928,0.642,5.65219261086284e-05,"2","Rnf7"
"Fndc3a",5.10853144711376e-09,0.530786837366484,0.783,0.406,5.67200246573041e-05,"2","Fndc3a"
"Aamp",5.31471133547227e-09,0.540688848910012,0.807,0.458,5.90092399577486e-05,"2","Aamp"
"Pkm",5.61943643155631e-09,0.471893148312915,0.988,0.919,6.23926026995698e-05,"2","Pkm"
"Eif1",5.83946223796219e-09,0.423300338774797,1,0.996,6.48355492280941e-05,"2","Eif1"
"Txnl1",5.97410849265319e-09,0.504480443491929,0.759,0.387,6.63305265939284e-05,"2","Txnl1"
"Smarca5",6.03057072351794e-09,0.50754511812476,0.699,0.369,6.69574267432197e-05,"2","Smarca5"
"Fkbp3",6.09936462449735e-09,0.546644937813701,0.892,0.517,6.77212454257941e-05,"2","Fkbp3"
"Cdk2ap2",6.10988472513985e-09,0.400652923882025,0.602,0.24,6.78380501032277e-05,"2","Cdk2ap2"
"Rpl19",6.13828045130322e-09,0.463337726054672,1,0.989,6.81533278508196e-05,"2","Rpl19"
"Ubl5",6.15713397945183e-09,0.52155395685087,0.952,0.804,6.83626585738536e-05,"2","Ubl5"
"Ndufv3",6.90922602884272e-09,0.507295036645708,0.976,0.849,7.67131365982408e-05,"2","Ndufv3"
"Psmd8",7.03819369725526e-09,0.450588511131827,0.771,0.384,7.81450646206252e-05,"2","Psmd8"
"Polr2i",7.48389289112104e-09,0.492231242327805,0.627,0.273,8.3093662770117e-05,"2","Polr2i"
"Polr2g",7.51165190944958e-09,0.541036934060241,0.88,0.528,8.34018711506186e-05,"2","Polr2g"
"Eif5a",8.24302027403332e-09,0.4568356145483,0.988,0.878,9.1522254102592e-05,"2","Eif5a"
"Tuba1b",8.4747284379106e-09,0.585393701607254,0.855,0.546,9.40949098461214e-05,"2","Tuba1b"
"Eloc",8.6171050762686e-09,0.499580887856671,0.843,0.472,9.56757176618103e-05,"2","Eloc"
"Cacybp",9.64693691618325e-09,0.556487746960258,0.735,0.399,0.000107109940580383,"2","Cacybp"
"Vdac1",9.79534288135677e-09,0.58939540791328,0.952,0.649,0.000108757692011704,"2","Vdac1"
"Paxbp1",9.89842762571715e-09,0.37386620189175,0.446,0.148,0.000109902241928338,"2","Paxbp1"
"Ndufv1",1.00581532110966e-08,0.485875514739058,0.687,0.347,0.000111675675102805,"2","Ndufv1"
"Park7",1.08643984913392e-08,0.485737843145958,0.976,0.775,0.000120627416449339,"2","Park7"
"Pomp",1.19328334748021e-08,0.491955354571637,0.952,0.668,0.000132490250070727,"2","Pomp"
"Elob",1.26901508436893e-08,0.473839134939982,1,0.904,0.000140898744817482,"2","Elob"
"Mrpl17",1.27999959418948e-08,0.470070412706097,0.843,0.472,0.000142118354942858,"2","Mrpl17"
"Arpp19",1.33702648193721e-08,0.461273464468938,0.867,0.498,0.000148450050289489,"2","Arpp19"
"Ndufc1",1.36432753176571e-08,0.48720996689913,0.964,0.672,0.000151481285851947,"2","Ndufc1"
"Map1lc3a",1.41023557132395e-08,0.584304157133185,0.892,0.557,0.000156578455484098,"2","Map1lc3a"
"Pdcd5",1.47400560651856e-08,0.512787954257167,0.795,0.435,0.000163658842491756,"2","Pdcd5"
"Rps13",1.6085178289284e-08,0.407494415405016,1,0.978,0.000178593734545921,"2","Rps13"
"Cox6a1",1.60937626965638e-08,0.453652653272135,1,0.911,0.000178689047219948,"2","Cox6a1"
"Dnajc8",1.68818127976334e-08,0.419719933824063,0.795,0.406,0.000187438767492123,"2","Dnajc8"
"Uqcrb",1.71641573037034e-08,0.455457472609691,1,0.959,0.000190573638543019,"2","Uqcrb"
"Rps19",1.81612782967132e-08,0.454835899010937,1,0.993,0.000201644672928407,"2","Rps19"
"Calm1",1.92402148423291e-08,0.50169552384601,1,0.945,0.00021362410539438,"2","Calm1"
"Rpl18",2.04175521355522e-08,0.457785264076424,1,0.993,0.000226696081361036,"2","Rpl18"
"Uqcrh",2.09760159318504e-08,0.468569766093901,0.988,0.945,0.000232896704891335,"2","Uqcrh"
"Romo1",2.34053633379847e-08,0.517348192910465,0.916,0.579,0.000259869749141645,"2","Romo1"
"Rpl35",2.34255522278246e-08,0.43472498865154,1,0.967,0.000260093906385536,"2","Rpl35"
"Snrpb2",2.38466354047769e-08,0.472403927231648,0.53,0.214,0.000264769192899238,"2","Snrpb2"
"Tbca",2.41361963771365e-08,0.573107774968564,0.916,0.708,0.000267984188375347,"2","Tbca"
"Pcbp1",2.43274339983166e-08,0.508603413788046,0.867,0.539,0.000270107499683309,"2","Pcbp1"
