"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pomc",1.54914700001217e-45,1.20741948366159,1,1,1.72001791411351e-41,"0","Pomc"
"Resp18",1.78455092974735e-11,0.408722802183012,0.969,0.942,1.98138689729848e-07,"0","Resp18"
"Nmb",4.80344431000188e-10,0.777806226697053,0.315,0.147,5.33326421739509e-06,"0","Nmb"
"Crem",3.52740330506445e-06,0.256020113689793,0.623,0.448,0.0391647588961306,"0","Crem"
"Ly6h",2.89273115086136e-40,0.653552676515836,1,0.999,3.21179939680137e-36,"1","Ly6h"
"Nnat",4.63595259487252e-37,0.70733851288342,1,0.993,5.14729816608695e-33,"1","Nnat"
"Btg2",1.61651260483165e-35,0.78106177768742,0.996,0.992,1.79481394514458e-31,"1","Btg2"
"Ubb",9.46377993658724e-32,0.58046619931772,1,1,1.05076348635928e-27,"1","Ubb"
"Bsg",3.87704290408777e-30,0.569071602708375,0.992,0.996,4.30468073640865e-26,"1","Bsg"
"Fos",1.06095989189381e-29,0.651577690376655,1,0.996,1.17798376796969e-25,"1","Fos"
"Ier2",1.91870608049494e-24,0.704239090412939,0.983,0.979,2.13033936117353e-20,"1","Ier2"
"Zbtb20",1.24318246955873e-21,0.518896599696972,0.992,0.961,1.38030549595105e-17,"1","Zbtb20"
"Actb",7.88952817424655e-21,0.557978112630847,0.992,0.969,8.75974313186594e-17,"1","Actb"
"Tnnt1",3.66571752708097e-20,0.932337084811095,0.669,0.371,4.07004617031801e-16,"1","Tnnt1"
"Cebpd",1.50259318972556e-19,0.929282106350632,0.909,0.817,1.66832921855229e-15,"1","Cebpd"
"Lhfpl5",1.98462718255094e-19,0.591511934609293,0.678,0.369,2.20353156078631e-15,"1","Lhfpl5"
"Jun",1.25708712241002e-18,0.800533132276676,0.897,0.757,1.39574383201184e-14,"1","Jun"
"Jpt1",1.56211091274476e-17,0.545611076277119,0.798,0.532,1.73441174642051e-13,"1","Jpt1"
"Atp6v0c",1.91754363348012e-15,0.396043249859747,0.971,0.976,2.12904869625297e-11,"1","Atp6v0c"
"Gnb2",5.0811513188825e-15,0.424707001159825,0.955,0.893,5.64160230935523e-11,"1","Gnb2"
"Klf9",6.33446664278378e-15,0.560094094566089,0.847,0.657,7.03315831348283e-11,"1","Klf9"
"Mthfd2",2.01020347753035e-14,0.464483763527874,0.583,0.322,2.23192892110195e-10,"1","Mthfd2"
"Tmem176b",9.60810176717898e-14,0.412682753663099,0.913,0.868,1.06678753920988e-09,"1","Tmem176b"
"Ucp2",1.6267716511306e-13,0.393696234240571,0.926,0.846,1.8062045642503e-09,"1","Ucp2"
"Pdlim1",2.0468139367417e-13,0.326777062003817,0.331,0.126,2.27257751396431e-09,"1","Pdlim1"
"Ndfip1",2.06765953813357e-13,0.358215854451954,0.955,0.937,2.2957223851897e-09,"1","Ndfip1"
"Sirt3",2.16722689991705e-13,0.344673539461244,0.554,0.295,2.40627202697791e-09,"1","Sirt3"
"Ddx5",2.89200963556006e-13,0.336705468487624,0.988,0.976,3.21099829836234e-09,"1","Ddx5"
"Scg2",7.02694083005552e-13,0.397267504957032,1,0.978,7.80201240361064e-09,"1","Scg2"
"Dnajb1",8.85328009393258e-13,0.881073971333557,0.603,0.386,9.82979688829334e-09,"1","Dnajb1"
"Anxa5",1.69208100163039e-12,0.396520457435911,0.909,0.867,1.87871753611023e-08,"1","Anxa5"
"Rspo3",2.90990719491285e-12,0.312944610805714,0.306,0.115,3.23086995851173e-08,"1","Rspo3"
"Pkm",3.59324165261406e-12,0.374220125928298,0.934,0.935,3.98957620689739e-08,"1","Pkm"
"Cadm1",4.3119764448279e-12,0.437992797839883,0.847,0.715,4.78758744669241e-08,"1","Cadm1"
"Psmb2",8.02944988771492e-12,0.386213416915065,0.93,0.903,8.91509821032987e-08,"1","Psmb2"
"Rasd1",9.82586265268062e-12,0.618638833172553,0.839,0.743,1.09096553032713e-07,"1","Rasd1"
"Dnajc3",3.13938739150268e-11,0.36127501921148,0.562,0.326,3.48566182078542e-07,"1","Dnajc3"
"Usp2",4.80817733865026e-11,0.366133787078351,0.649,0.402,5.33851929910339e-07,"1","Usp2"
"Ncam1",5.28794962617106e-11,0.392483375790921,0.752,0.532,5.87121046993772e-07,"1","Ncam1"
"Cd47",5.96174387214943e-11,0.415245335487643,0.682,0.473,6.61932422124751e-07,"1","Cd47"
"Hspa8",6.36553715064955e-11,0.302173235170531,0.996,1,7.06765589836619e-07,"1","Hspa8"
"Tnni3",6.47156725736203e-11,0.411057648366299,0.223,0.072,7.18538112584906e-07,"1","Tnni3"
"Tpm2",7.73401420106347e-11,0.309635229285065,0.231,0.079,8.58707596744078e-07,"1","Tpm2"
"Tppp3",8.05496236405957e-11,0.415301101516173,0.479,0.267,8.94342471281535e-07,"1","Tppp3"
"Nexn",8.4619295042357e-11,0.280946276100134,0.256,0.094,9.3952803285529e-07,"1","Nexn"
"Sparc",1.83071553927615e-10,0.257816565057028,0.364,0.167,2.0326434632583e-06,"1","Sparc"
"Itm2b",4.49333538559397e-10,0.301065681240816,1,0.996,4.98895027862498e-06,"1","Itm2b"
"Cst3",5.65693242902848e-10,0.315738846963001,0.996,0.996,6.28089207595032e-06,"1","Cst3"
"Tmem37",6.99163708603733e-10,0.30324811219535,0.293,0.125,7.76281465662725e-06,"1","Tmem37"
"Hsp90ab1",9.24035864743141e-10,0.292387354672163,0.988,0.997,1.02595702062431e-05,"1","Hsp90ab1"
"Egr2",1.13169829493686e-09,0.423145833965062,0.574,0.361,1.2565246168684e-05,"1","Egr2"
"Mcub",3.16065628722911e-09,0.352734604206033,0.909,0.744,3.50927667571048e-05,"1","Mcub"
"Ubc",3.69874189109972e-09,0.449821034803896,0.975,0.976,4.10671312168802e-05,"1","Ubc"
"Akap9",9.29185780674565e-09,0.285161454292176,0.591,0.372,0.000103167497228297,"1","Akap9"
"Tekt1",1.11105686561703e-08,0.370121461424308,0.612,0.402,0.000123360643789459,"1","Tekt1"
"Tmem59",1.13345446026785e-08,0.329629081309257,0.913,0.864,0.00012584744872354,"1","Tmem59"
"Anp32a",1.19173007129643e-08,0.269737464240978,0.607,0.39,0.000132317789816043,"1","Anp32a"
"Tmem176a",2.47275460872321e-08,0.341288304472248,0.851,0.819,0.000274549944206538,"1","Tmem176a"
"Klf13",2.48222891726834e-08,0.338638995433196,0.612,0.416,0.000275601876684304,"1","Klf13"
"Gng3",2.62823126196541e-08,0.256127428695069,0.298,0.139,0.00029181251701602,"1","Gng3"
"Ccnd2",3.31441456094662e-08,0.341621201740001,0.959,0.968,0.000367999448701903,"1","Ccnd2"
"Ppp3ca",4.69364449337726e-08,0.371533134005878,0.661,0.492,0.000521135348099677,"1","Ppp3ca"
"Cfl1",4.82719260265659e-08,0.293486001205577,0.934,0.904,0.000535963194672961,"1","Cfl1"
"Selenom",6.37326691430271e-08,0.339294057693306,0.872,0.867,0.00070762382549503,"1","Selenom"
"Nt5dc2",6.71660096877477e-08,0.254426305879909,0.26,0.118,0.000745744205563062,"1","Nt5dc2"
"Egr1",6.84365653279462e-08,0.269776151739645,0.967,0.952,0.000759851184836186,"1","Egr1"
"Srpk1",7.01540975530989e-08,0.319830996390954,0.55,0.354,0.000778920945132057,"1","Srpk1"
"Kcnk2",1.29361395745845e-07,0.354791536760686,0.744,0.583,0.00143629957696612,"1","Kcnk2"
"Actg1",1.43776525046185e-07,0.385094031206726,0.942,0.966,0.00159635075758779,"1","Actg1"
"Ptpn1",1.45624102865625e-07,0.291620233226181,0.62,0.426,0.00161686441411704,"1","Ptpn1"
"Ubqln2",1.47647529549861e-07,0.268065857112784,0.587,0.39,0.0016393305205921,"1","Ubqln2"
"Myl12a",2.49114574443927e-07,0.274348798710277,0.661,0.462,0.00276591912005092,"1","Myl12a"
"Ctsd",2.90251741606661e-07,0.282825368089328,0.661,0.501,0.00322266508705876,"1","Ctsd"
"Hsp90aa1",3.72489670247588e-07,0.273182527493526,0.992,0.963,0.00413575280875897,"1","Hsp90aa1"
"Camk1",4.28979077948864e-07,0.29118620944406,0.438,0.271,0.00476295470246623,"1","Camk1"
"Zcchc18",4.31276345124232e-07,0.315971112591422,0.599,0.441,0.00478846125991434,"1","Zcchc18"
"Ccdc107",4.85686112318998e-07,0.261272207723666,0.397,0.237,0.00539257290507783,"1","Ccdc107"
"B630019K06Rik",5.11964571641702e-07,0.270290360658473,0.562,0.364,0.00568434263893781,"1","B630019K06Rik"
