"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pomc",1.06898389101454e-72,1.01354122644634,1,0.999,1.18689281419345e-68,"0","Pomc"
"Gnas",7.41381962170426e-47,0.412787415365231,1,1,8.23156392597824e-43,"0","Gnas"
"Scg2",4.89686395693041e-28,0.347460021971468,1,0.991,5.43698805137983e-24,"0","Scg2"
"Pcsk1",1.15496139118459e-21,0.348457309338878,0.437,0.248,1.28235363263225e-17,"0","Pcsk1"
"Nr3c1",4.02122478902484e-20,0.311592072169385,0.82,0.616,4.46476588325428e-16,"0","Nr3c1"
"Scg5",2.40348104368705e-19,0.278061830668382,0.93,0.937,2.66858500280573e-15,"0","Scg5"
"Resp18",7.34063711168065e-19,0.445993363354999,0.891,0.897,8.15030938509902e-15,"0","Resp18"
"Sparcl1",1.09620597648649e-18,0.322798879443346,0.783,0.582,1.21711749569295e-14,"0","Sparcl1"
"Ly6h",2.08679161608485e-18,0.261474001143949,0.997,0.987,2.31696473133901e-14,"0","Ly6h"
"Bsg",9.65074716266941e-18,0.269889458059,0.981,0.974,1.07152245747118e-13,"0","Bsg"
"Rtn4",3.82039110477214e-17,0.3009545427112,0.801,0.612,4.24178024362851e-13,"0","Rtn4"
"Cox5a",5.26246114766886e-16,0.255939891793763,0.491,0.311,5.84291061225673e-12,"0","Cox5a"
"Gem",3.26681341259197e-15,0.400387091245261,0.48,0.314,3.62714293200087e-11,"0","Gem"
"Rab3b",1.68600571504899e-14,0.274041152913707,0.64,0.462,1.8719721454189e-10,"0","Rab3b"
"Creg1",6.35246036726784e-14,0.26554781483611,0.681,0.51,7.05313674577748e-10,"0","Creg1"
"Vdac1",8.71284613259981e-14,0.250702506555746,0.749,0.567,9.67387306102557e-10,"0","Vdac1"
"Ascl1",1.87654403471435e-13,0.315272656228705,0.486,0.328,2.08352684174334e-09,"0","Ascl1"
"Ptgds",1.12520454364078e-11,0.279147380633506,0.264,0.15,1.24931460480436e-07,"0","Ptgds"
"Cpe",1.18068960827095e-11,0.264926318526521,0.831,0.826,1.31091967206323e-07,"0","Cpe"
