"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fos",5.51344729121854e-47,1.62491444775744,1,0.973,6.12158052743995e-43,"0","Fos"
"Ier2",1.21987215696704e-40,1.82096062563301,0.96,0.795,1.35442405588051e-36,"0","Ier2"
"Ubb",1.77856722287609e-31,0.700025502592474,1,1,1.97474318755933e-27,"0","Ubb"
"Btg2",1.37001751810511e-29,1.00837705773799,0.994,0.973,1.5211304503521e-25,"0","Btg2"
"Hspa8",5.46861427855042e-29,0.672479414749499,1,1,6.07180243347453e-25,"0","Hspa8"
"Jun",2.07643300528766e-24,1.28941265986889,0.938,0.798,2.30546356577089e-20,"0","Jun"
"Egr1",7.91456911740382e-24,0.816767717376008,0.983,0.888,8.78754609105346e-20,"0","Egr1"
"Hsp90aa1",3.29993979923258e-23,0.907861376607834,0.994,0.962,3.66392315908793e-19,"0","Hsp90aa1"
"Hsp90ab1",9.23165097623588e-23,0.647395399887709,1,1,1.02499020789147e-18,"0","Hsp90ab1"
"Ubc",3.00116368126629e-22,0.782155547932863,1,0.984,3.33219203530996e-18,"0","Ubc"
"Dnajb1",1.90286546065532e-21,0.882602309450053,0.966,0.923,2.1127515209656e-17,"0","Dnajb1"
"Npas4",1.07174965683932e-20,1.00122685608878,0.818,0.415,1.18996364398869e-16,"0","Npas4"
"Itm2b",2.64610535806193e-18,0.521799828122527,1,1,2.93797077905616e-14,"0","Itm2b"
"Ddx5",6.21069868542032e-18,0.502166682630349,0.989,0.992,6.89573875042218e-14,"0","Ddx5"
"Jund",7.58069755431035e-18,0.650382704725455,1,0.97,8.41684849455078e-14,"0","Jund"
"Zfp36",6.5092469515101e-15,0.954196310386875,0.727,0.467,7.22721689026166e-11,"0","Zfp36"
"Nr4a1",3.73342884153216e-14,0.67217196345475,0.955,0.814,4.14522604275316e-10,"0","Nr4a1"
"Pkm",4.24759592050541e-14,0.479265435894066,1,0.97,4.71610575053716e-10,"0","Pkm"
"Cfl1",4.67225075270864e-13,0.475530304787315,0.994,0.975,5.1876000107324e-09,"0","Cfl1"
