"Dataset","Cluster","Community"
"Allensworth2021F","0","3"
"Allensworth2021F","1","4"
"Allensworth2021F","2",NA
"Allensworth2021F","6",NA
"Allensworth2021F","3","3"
"Allensworth2021F","4","1"
"Allensworth2021F","5",NA
"Fletcher2019F","1","4"
"Fletcher2019F","2",NA
"Fletcher2019F","0","2"
"Kucka2021F","3","1"
"Kucka2021F","1",NA
"Kucka2021F","6",NA
"Kucka2021F","0","2"
"Kucka2021F","2",NA
"Kucka2021F","4",NA
"Kucka2021F","5",NA
"Kucka2021F","7",NA
"Ruf_Zamojski2021F","5",NA
"Ruf_Zamojski2021F","6","3"
"Ruf_Zamojski2021F","4",NA
"Ruf_Zamojski2021F","3",NA
"Ruf_Zamojski2021F","2","1"
"Ruf_Zamojski2021F","1","2"
"Ruf_Zamojski2021F","0",NA
"Ruf_Zamojski2021F","7",NA
