Enrichment FDR;nGenes;Pathway Genes;Fold Enrichment;Pathway;URL;Genes
4.34521681179625e-06;18;689;4.79092872570194;GO:0061061 muscle structure development;http://amigo.geneontology.org/amigo/term/GO:0061061;Tnnt1  Actb  Id2  Actg1  Id3  Hspa8  Igfbp5  Cryab  Btg2  Fos  Ly6e  Atf3  Cd9  Egr2  Egr1  Ccnd2  Nr3c1  Btg1
9.42886111819858e-08;24;1040;4.57125193199382;GO:0014070 response to organic cyclic compound;http://amigo.geneontology.org/amigo/term/GO:0014070;Nr3c1  Gnas  Id3  Epha5  Npas4  Folr1  Fosb  Hspa8  Btg2  Fos  Hsp90aa1  Clu  Igfbp5  Actb  Cryab  Klf9  Atf4  Zfp36  Ezr  Jun  Klf2  Jund  Dnaja1  Egr1
6.10991005457737e-10;30;1267;4.47578692493947;GO:1901701 cellular response to oxygen-containing compound;http://amigo.geneontology.org/amigo/term/GO:1901701;Gnas  Prdx1  Irs2  Psap  Id3  Ly6e  Epha5  Mt1  Zfp36  Npas4  Socs3  Folr1  Mgst1  Hspa8  Fos  Clu  Slc38a2  Tra2b  Nr3c1  Igfbp5  Actb  Klf9  Atf4  Ezr  Jun  Klf2  Zbtb20  Cacna1d  Rorb  Egr1
6.96772647717851e-06;20;921;4.10777777777778;GO:0009725 response to hormone;http://amigo.geneontology.org/amigo/term/GO:0009725;Nr3c1  Irs2  Epha5  Egr1  Npas4  Socs3  Fosb  Hspa8  Btg2  Fos  Hsp90aa1  Gnas  Klf9  Btg1  Egr2  Zfp36  Jun  Jund  Dnaja1  Igfbp5
4.38299313370915e-11;37;1825;3.99617294770669;GO:1901700 response to oxygen-containing compound;http://amigo.geneontology.org/amigo/term/GO:1901700;Gnas  Prdx1  Irs2  Psap  Id3  Ly6e  Epha5  Mt1  Egr1  Zfp36  Npas4  Socs3  Folr1  Fosb  Mgst1  Hspa8  Btg2  Fos  Hsp90aa1  Clu  Slc38a2  Tra2b  Nr3c1  Igfbp5  Actb  Cryab  Klf9  Btg1  Egr2  Atf4  Ezr  Jun  Klf2  Jund  Zbtb20  Cacna1d  Rorb
2.82295260874365e-06;28;1652;3.19789928946555;GO:0009719 response to endogenous stimulus;http://amigo.geneontology.org/amigo/term/GO:0009719;Nr3c1  Gnas  Irs2  Epha5  Cd9  Egr1  Zfp36  Npas4  Jun  Socs3  Folr1  Fosb  Hspa8  Btg2  Fos  Hsp90aa1  Igfbp5  Actb  Klf9  Btg1  Egr2  Atf4  Ezr  Ier2  Klf2  Jund  Dnaja1  Nrxn1
4.38299313370915e-11;48;3162;2.97545271629779;GO:0070887 cellular response to chemical stimulus;http://amigo.geneontology.org/amigo/term/GO:0070887;Hspa8  Nr3c1  Ifitm3  Gnas  Prdx1  Mt1  Irs2  Ifitm2  Fosb  Psap  Hspb1  Id3  Id2  Fos  Ly6e  Epha5  Egr2  Egr1  Atf4  Zfp36  Npas4  Jun  Socs3  Gstm1  Actg1  Jund  Folr1  Mgst1  Clu  Slc38a2  Tra2b  Pla2g7  Igfbp5  Dnaja1  Actb  Ppib  Klf9  Ezr  Klf2  Tle4  Spock2  Krt18  Zbtb20  Atf3  Ppp1r15a  Cacna1d  Nrxn1  Rorb
2.35988369017157e-08;39;2498;2.9703955500618;GO:0071310 cellular response to organic substance;http://amigo.geneontology.org/amigo/term/GO:0071310;Hspa8  Nr3c1  Ifitm3  Gnas  Irs2  Ifitm2  Id3  Epha5  Egr2  Egr1  Atf4  Zfp36  Npas4  Jun  Socs3  Actg1  Folr1  Fosb  Hspb1  Mgst1  Fos  Clu  Tra2b  Igfbp5  Actb  Klf9  Ezr  Klf2  Tle4  Spock2  Krt18  Psap  Zbtb20  Atf3  Dnaja1  Ppp1r15a  Cacna1d  Nrxn1  Rorb
4.05608665056678e-10;47;3454;2.84059179336276;GO:0010033 response to organic substance;http://amigo.geneontology.org/amigo/term/GO:0010033;Hspa8  Nr3c1  Ifitm3  Gnas  Irs2  Ifitm2  Id3  Ly6e  Epha5  Cd9  Egr2  Egr1  Atf4  Zfp36  Npas4  Jun  Socs3  Actg1  Folr1  Fosb  Hspb1  Mgst1  Btg2  Fos  Hsp90aa1  Clu  Tra2b  Igfbp5  Actb  Cryab  Klf9  Btg1  Ezr  Ier2  Klf2  Jund  Tle4  Spock2  Krt18  Psap  Zbtb20  Atf3  Dnaja1  Ppp1r15a  Cacna1d  Nrxn1  Rorb
2.82295260874365e-06;34;2511;2.72782118055556;GO:0006357 reg. of transcription by RNA polymerase II;http://amigo.geneontology.org/amigo/term/GO:0006357;Fosb  Dnajb1  Id3  Id2  Fos  Zbtb20  Nr3c1  Ptma  Atf3  Ccnl1  Bhlhe40  Irf2bpl  Rorb  Egr2  Jmjd1c  Egr1  Atf4  Npas4  Jun  Klf2  Jund  Cebpd  Actb  Tle4  Ppp1r15a  S100a10  Klf6  Btg2  Tsc22d1  Zfp36  Ezr  Ier2  Hnrnpa2b1  Gnas
1.54580004667959e-06;41;3487;2.43967487526155;GO:0006355 reg. of transcription DNA-templated;http://amigo.geneontology.org/amigo/term/GO:0006355;Fosb  Dnajb1  Id3  Id2  Fos  Zbtb20  Nr3c1  Ptma  Atf3  Ccnl1  Bhlhe40  Irf2bpl  Rorb  Egr2  Jmjd1c  Egr1  Atf4  Npas4  Jun  Klf2  Jund  Cebpd  Actb  Tle4  Rasl11a  Ppp1r15a  S100a10  Klf6  Hspa8  Btg2  Tsc22d1  Clu  Rbpms  Cryab  Zfp36  Ezr  Ier2  Hnrnpa2b1  Cacna1d  Gnas  Epha5
