Enrichment FDR;nGenes;Pathway Genes;Fold Enrichment;Pathway;URL;Genes
0.00255215314050271;4;15;18.3980099502488;GO:0031386 protein tag;http://amigo.geneontology.org/amigo/term/GO:0031386;Ubc  Nedd8  Ubb  Sumo1
5.3351698944858e-05;9;32;9.19900497512438;GO:0140662 ATP-dependent protein folding chaperone;http://amigo.geneontology.org/amigo/term/GO:0140662;Hspa8  Hsp90b1  Hsp90aa1  Hsp90ab1  Hspd1  Hspa5  Hsph1  Cct2  Hspe1
0.00421489379588092;6;23;7.88486140724947;GO:0070182 DNA polymerase binding;http://amigo.geneontology.org/amigo/term/GO:0070182;Hsp90aa1  Hsp90ab1  Pcna  Paxx  Ptges3  Hnrnpa2b1
5.3351698944858e-05;11;51;7.22778962331201;GO:0044183 protein folding chaperone;http://amigo.geneontology.org/amigo/term/GO:0044183;Hspb1  Hspa8  Hspa5  Dnajb1  Hsp90b1  Hsp90aa1  Hsp90ab1  Hspd1  Hsph1  Cct2  Hspe1
0.00779583996216183;7;58;5.85391225689733;GO:0019829 ATPase-coupled cation transmembrane transporter activity;http://amigo.geneontology.org/amigo/term/GO:0019829;Atp1a2  Atp6v0d1  Atp6v1d  Atp6v0c  Atp1b1  Atp6v0e2  Anxa5
0.000188200078046872;13;90;4.9827943615257;GO:0051082 unfolded protein binding;http://amigo.geneontology.org/amigo/term/GO:0051082;Dnajb1  Hspa8  Hsp90b1  Hsp90aa1  Hsp90ab1  Hspa5  Cct2  Hspb6  Hspe1  Calr  Clu  Dnaja1  Ptges3
0.0130903843968288;8;71;4.59950248756219;GO:0005200 structural constituent of cytoskeleton;http://amigo.geneontology.org/amigo/term/GO:0005200;Tuba1b  Tuba4a  Actb  Tubb4b  Tubb2a  Actg1  Actr2  Actr3
0.00280947803701919;12;111;3.94243070362473;GO:0051087 chaperone binding;http://amigo.geneontology.org/amigo/term/GO:0051087;Dnajb1  Hspd1  Dnaja1  Stub1  Ptges3  Hspe1  Atp1a2  Hspa8  Sod1  Grn  Hspb6  Prnp
0.00864792114792427;12;178;3.44962686567164;GO:0002020 protease binding;http://amigo.geneontology.org/amigo/term/GO:0002020;Psap  Ubc  Sumo1  Ecm1  Vcp  Rnf139  Os9  Ntrk2  Flot1  Prnp  Cst3  Adrm1
5.3351698944858e-05;27;311;3.00451372171401;GO:0031625 ubiquitin protein ligase binding;http://amigo.geneontology.org/amigo/term/GO:0031625;Ubc  Nedd8  Ubb  Map1lc3a  Calr  Hspa8  Sqstm1  Rtn4  Ywhae  Nfkbia  Hsp90aa1  Clu  Ywhaz  Tuba1b  Hsp90ab1  Atp6v0c  Sumo1  Psmd1  Hspa5  Dnaja1  Vcp  Cct2  Egr2  Stub1  Jun  Actg1  Hspd1
