Enrichment FDR;nGenes;Pathway Genes;Fold Enrichment;Pathway;URL;Genes
0.000162059332374232;19;173;3.7453091684435;GO:0006457 protein folding;http://amigo.geneontology.org/amigo/term/GO:0006457;Calr  Hspb1  Dnajb1  Hspa8  Hsp90b1  Hsp90aa1  Hsp90ab1  Hspd1  Hspa5  Dnaja1  Hsph1  Cct2  Hspb6  Ptges3  Hspe1  Clu  Tbcc  Grn  Stub1
0.00015197937383714;25;311;3.0938357539656;GO:0051402 neuron apoptotic proc.;http://amigo.geneontology.org/amigo/term/GO:0051402;Mt1  Cebpb  Cdc42  Btg2  Hsp90ab1  Hspd1  Hspa5  Grn  Mcl1  Jun  Prnp  Nr3c1  Snca  Sncb  Sod1  Ddit3  Nr4a2  Atf4  Six1  Prdx2  Egr1  Ntrk2  Gapdh  Gm45234  Hsph1
7.78233356134632e-05;31;426;2.78666925956537;GO:0070997 neuron death;http://amigo.geneontology.org/amigo/term/GO:0070997;Snca  Sncb  Mt1  Cebpb  Eno2  Cdc42  Crhr1  Ubb  Btg2  Fos  Clu  Hsp90ab1  Hspd1  Hspa5  Grn  Egr1  Mcl1  Atf4  Jun  Prnp  Nr3c1  Sod1  Ddit3  Nr4a2  Six1  Stat3  Prdx2  Ntrk2  Gapdh  Gm45234  Hsph1
2.49163298540108e-08;60;1040;2.55922858658793;GO:0014070 response to organic cyclic compound;http://amigo.geneontology.org/amigo/term/GO:0014070;Nr3c1  Insig1  Atp1a2  Nfkbia  Epha5  Npas4  Fosb  Calr  Stat3  Eno2  Homer1  Slc3a2  Hspa8  Crhr1  Acsl1  Hsp90b1  Actr2  Btg2  Ddx5  Fos  Hsp90aa1  Clu  Bsg  Hsp90ab1  Caly  Hspd1  Hspa5  Pcna  Map1lc3a  Psmb2  Errfi1  Nsg1  Actb  Cdo1  Klf9  Tiparp  Smpd1  Akap9  Atf4  Zfp36  Six1  Jun  Klf2  Cebpb  Flot1  Rnf14  Jund  Cdkn2d  Usp18  Idi1  Tmem38a  Dnaja1  Ptges3  Nedd8  Snca  Grn  Egr1  Mat2a  Ntrk2  Ctsl
2.27248306692725e-06;52;921;2.39174129353234;GO:0009725 response to hormone;http://amigo.geneontology.org/amigo/term/GO:0009725;Stat3  Nr4a1  Nr3c1  Nr4a2  Pkm  Irs2  Insig1  Atp1a2  Epha5  Egr1  Npas4  Socs3  Fosb  Calr  Hspa8  Crhr1  Btg2  Ddx5  Srsf5  Fos  Hsp90aa1  Bsg  Hspd1  Pcna  Errfi1  Phip  Gnai2  Cdo1  Ucp2  Klf9  Btg1  Egr2  Uqcrfs1  Cited2  Zfp36  Jun  Grb2  Rnf14  Jund  Snrpn  Acsl1  Hadha  Dnaja1  Adrm1  Ptges3  Irf1  Anxa5  Mat2a  Ntrk2  Cfl1  Ctsl  Srsf3
6.86360139037148e-08;64;1095;2.36440288517253;GO:0010243 response to organonitrogen compound;http://amigo.geneontology.org/amigo/term/GO:0010243;Calr  Stat3  Hsp90b1  Nr4a1  Nr4a2  Hspa5  Vcp  Herpud1  Pkm  Irs2  Os9  Insig1  Ubqln2  Nfkbia  Egr1  Jun  Socs3  Ntrk2  Cfl1  Cebpb  Fosb  Homer1  Crhr1  Actr2  Btg2  Srsf5  Fos  Hsp90aa1  Bsg  Hsp90ab1  Caly  Hspd1  Rgs2  Pcna  Map1lc3a  Ppp3ca  Psmb2  Errfi1  Nsg1  Actb  Phip  Gnai2  Cdo1  Ucp2  Btg1  Smpd1  Rnf139  Egr2  Stub1  Akap9  Atf4  Six1  Klf2  Grb2  Jund  Prnp  Tmem38a  Hadha  Adrm1  Irf1  Snca  Anxa5  Mat2a  Srsf3
2.49163298540108e-08;68;1202;2.35162533198668;GO:1901698 response to nitrogen compound;http://amigo.geneontology.org/amigo/term/GO:1901698;Calr  Stat3  Hsp90b1  Ly6h  Nr4a1  Nr4a2  Hspa5  Vcp  Herpud1  Pkm  Irs2  Os9  Insig1  Ubqln2  Nfkbia  Egr1  Jun  Socs3  Ntrk2  Cfl1  Cebpb  Fosb  Homer1  Slc3a2  Crhr1  Actr2  Btg2  Srsf5  Fos  Hsp90aa1  Bsg  Hsp90ab1  Caly  Hspd1  Rgs2  Pcna  Map1lc3a  Ppp3ca  Psmb2  Errfi1  Nsg1  Actb  Phip  Gnai2  Cdo1  Ucp2  Btg1  Smpd1  Rnf139  Egr2  Stub1  Akap9  Atf4  Six1  Klf2  Flot1  Grb2  Jund  Prnp  Tmem38a  Hadha  Adrm1  Irf1  Snca  Anxa5  Mat2a  Gapdh  Srsf3
4.539745541615e-06;59;1171;2.1826057380657;GO:0060548 negative reg. of cell death;http://amigo.geneontology.org/amigo/term/GO:0060548;Tmbim4  Ptms  Herpud1  Tmem109  Hspb6  Mcl1  Psap  Hspb1  Prdx2  Sod1  Nr4a1  Mt1  Ntrk2  Cebpb  Araf  Klf4  Eno2  Pttg1ip  Hspa8  Crhr1  Hsp90b1  Vdac1  Btg2  Clu  Mapk8ip2  Hsp90ab1  Snca  Hspd1  Nr4a2  Hspa5  Dnaja1  Phip  Gnai2  Ucp2  Egr3  Grn  Ppp1r10  Atf4  Scg2  Socs3  Prnp  Cdkn2d  Ckmt1  Sncb  Vdac2  Irs2  Cited2  Six1  Jun  Stat3  Atp6v0c  Nr3c1  Fth1  Cst3  Ppp1r15a  Gapdh  Eno1b  Ptges3  Hsph1
2.49163298540108e-08;86;1825;2.08005546326213;GO:1901700 response to oxygen-containing compound;http://amigo.geneontology.org/amigo/term/GO:1901700;Stat3  Prdx2  Ly6h  Sod1  Nr4a1  Nr4a2  Pkm  Irs2  Insig1  Klf4  Psap  Dnaaf2  Nfkbia  Epha5  Mt1  Egr1  Zfp36  Npas4  Socs3  Ntrk2  Cfl1  Cebpb  Hadhb  Fosb  Calr  Eno2  Cnp  Atp1a2  Homer1  Hspa8  Crhr1  Acsl1  Hsp90b1  Actr2  Btg2  Srsf5  Fos  Hsp90aa1  Clu  Bsg  Hsp90ab1  Nr3c1  Caly  Snca  Hspd1  Rgs2  Hspa5  Pcna  Map1lc3a  Ppp3ca  Vcp  Akr1a1  Errfi1  Nsg1  Actb  Phip  Gnai2  Cdo1  Ucp2  Klf9  Btg1  Smpd1  Egr2  Akap9  Atf4  Six1  Xrcc1  Jun  Klf2  Grb2  Jund  Prnp  Cdkn2d  Lgals9  Zbtb20  Hadha  Adrm1  Nnat  Irf1  Anxa5  Grn  Mat2a  Igtp  Ctsl  Sdf4  Srsf3
8.2401775246817e-05;54;1157;2.06118783674986;GO:0044092 negative reg. of molecular function;http://amigo.geneontology.org/amigo/term/GO:0044092;Ddit3  Ppp3ca  Actb  Ckmt1  Hspb1  Gadd45b  Id2  Nr4a1  Taf3  Ndn  Stub1  Hes6  Klf4  Atp1a2  Wfdc2  Crhr1  Ywhae  Nfkbia  Ly6h  Eif4a2  Ndfip1  Snca  Sumo1  Cst3  Ecm1  Gem  Dnaja1  Stmn1  Errfi1  Bhlhe40  Camk1  Gnai2  Pebp1  Oaz1  Smpd1  Rnh1  Ppp1r10  Pcsk1n  Ptpa  Akap9  Tiprl  Gskip  Jun  Prnp  Brms1  Cdkn2d  Prdx2  Rgs2  Grn  Irs2  Zfp36  Herpud1  Ppp1r15a  Gapdh
