Enrichment FDR;nGenes;Pathway Genes;Fold Enrichment;Pathway;URL;Genes
9.198587725575e-07;12;47;7.88486140724947;Path:mmu03050 Proteasome;http://www.genome.jp/kegg-bin/show_pathway?mmu03050;Psmb9  Psmb8  Psmb10  Psme1  Psmd2  Psma5  Psma6  Psmb2  Adrm1  Psmd8  Psme2b  Psmd1
0.000244452012185632;8;81;7.1218103033221;Path:mmu04612 Antigen processing and presentation;http://www.genome.jp/kegg-bin/show_pathway?mmu04612;Calr  Ctsl  Hspa5  Hspa8  Hsp90ab1  Hsp90aa1  Psme1  Psme2b
0.0053365021087389;6;40;5.9136460554371;Path:mmu04216 Ferroptosis;http://www.genome.jp/kegg-bin/show_pathway?mmu04216;Acsl1  Fth1  Slc3a2  Prnp  Vdac2  Map1lc3a
0.00294409976073011;8;86;4.906135986733;Path:mmu05323 Rheumatoid arthritis;http://www.genome.jp/kegg-bin/show_pathway?mmu05323;Atp6v0d1  Atp6v0c  Ctsl  Fos  Jun  Atp6ap1  Atp6v1d  Atp6v0e2
0.000112660778064513;13;171;4.59950248756219;Path:mmu04145 Phagosome;http://www.genome.jp/kegg-bin/show_pathway?mmu04145;Actb  Actg1  Atp6v0d1  Atp6v0c  Calr  Ctsl  Lamp1  Tuba1b  Tuba4a  Tubb2a  Tubb4b  Atp6ap1  Atp6v1d
5.28357650393926e-09;29;262;4.2121759622938;Path:mmu05012 Parkinson disease;http://www.genome.jp/kegg-bin/show_pathway?mmu05012;Ndufb11  Atf4  Cox4i1  Cox6a1  Cox6c  Ddit3  Gnai2  Hspa5  Snca  Sod1  Psmd2  Tuba1b  Tuba4a  Tubb2a  Ubb  Ubc  Uba1  Vdac1  Vdac2  Tubb4b  Psma5  Psma6  Psmb2  Adrm1  Psmd8  Uqcrfs1  Ndufa8  Psmd1  Calml4
0.00352696071533984;9;93;4.20971414115861;Path:mmu04657 IL-17 signaling pathway;http://www.genome.jp/kegg-bin/show_pathway?mmu04657;Cebpb  Fos  Fosb  Hsp90ab1  Hsp90aa1  Jun  Jund  Nfkbia  Hsp90b1
1.3925079512686e-08;28;266;4.11019371228962;Path:mmu05020 Prion disease;http://www.genome.jp/kegg-bin/show_pathway?mmu05020;Ndufb11  Atf4  Cox4i1  Cox6a1  Cox6c  Ddit3  Egr1  Hspa5  Hspa8  Ncam1  Ppp3ca  Prnp  Sod1  Psmd2  Tuba1b  Tuba4a  Tubb2a  Vdac1  Vdac2  Tubb4b  Psma5  Psma6  Psmb2  Adrm1  Psmd8  Uqcrfs1  Ndufa8  Psmd1
0.00174963144731599;11;133;3.94243070362473;Path:mmu00190 Oxidative phosphorylation;http://www.genome.jp/kegg-bin/show_pathway?mmu00190;Ndufb11  Atp6v0d1  Atp6v0c  Cox4i1  Cox6a1  Cox6c  Atp6ap1  Uqcrfs1  Ndufa8  Atp6v1d  Atp6v0e2
6.02407952163252e-06;20;170;3.91447020218059;Path:mmu04141 Protein processing in endoplasmic reticulum;http://www.genome.jp/kegg-bin/show_pathway?mmu04141;Atf4  Calr  Ddit3  Hspa5  Eif2ak1  Hspa8  Dnaja1  Hsph1  Hsp90ab1  Hsp90aa1  Ppp1r15a  Os9  Hsp90b1  Vcp  Nsfl1c  Ubqln2  Stub1  Herpud1  Tusc3  Dnajb1
0.000152915125520981;15;135;3.90523796113771;Path:mmu04142 Lysosome;http://www.genome.jp/kegg-bin/show_pathway?mmu04142;Ap3s1  Atp6v0d1  Atp6v0c  Clta  Ctsl  Lamp1  Laptm4a  Naga  Psap  Smpd1  Gnptg  Atp6ap1  Fuca2  Npc2  Cltb
5.28357650393926e-09;35;365;3.6040877701047;Path:mmu05014 Amyotrophic lateral sclerosis;http://www.genome.jp/kegg-bin/show_pathway?mmu05014;Ndufb11  Actb  Actg1  Atf4  Cox4i1  Cox6a1  Cox6c  Ddit3  Hspa5  Sqstm1  Ppp3ca  Srsf3  Sod1  Psmd2  Tuba1b  Tuba4a  Tubb2a  Vdac1  Srsf7  Tubb4b  Fus  Psma5  Psma6  Psmb2  Vcp  Hnrnpa2b1  Ubqln2  Adrm1  Actr10  Psmd8  Uqcrfs1  Map1lc3a  Ndufa8  Dctn2  Psmd1
0.00150469851725524;13;136;3.51726660813579;Path:mmu04210 Apoptosis;http://www.genome.jp/kegg-bin/show_pathway?mmu04210;Actb  Actg1  Atf4  Ctsl  Ddit3  Fos  Jun  Mcl1  Gadd45b  Nfkbia  Tuba1b  Tuba4a  Gadd45g
0.00235907747581874;13;145;3.3218629076838;Path:mmu05418 Fluid shear stress and atherosclerosis;http://www.genome.jp/kegg-bin/show_pathway?mmu05418;Actb  Actg1  Ctsl  Fos  Hsp90ab1  Hsp90aa1  Jun  Klf2  Mef2a  Sqstm1  Hsp90b1  Sumo1  Calml4
3.07132571176691e-08;38;469;3.09347069959935;Path:mmu05022 Pathways of neurodegeneration-multiple diseases;http://www.genome.jp/kegg-bin/show_pathway?mmu05022;Ndufb11  Araf  Atf4  Cox4i1  Cox6a1  Cox6c  Ddit3  Hspa5  Hsd17b10  Sqstm1  Ppp3ca  Prnp  Snca  Sod1  Psmd2  Tuba1b  Tuba4a  Tubb2a  Ubb  Ubc  Uba1  Vdac1  Vdac2  Tubb4b  Fus  Psma5  Psma6  Psmb2  Vcp  Adrm1  Actr10  Psmd8  Uqcrfs1  Map1lc3a  Ndufa8  Dctn2  Psmd1  Calml4
0.00492967185717801;13;154;3.01479994983068;Path:mmu04932 Non-alcoholic fatty liver disease;http://www.genome.jp/kegg-bin/show_pathway?mmu04932;Ndufb11  Atf4  Cdc42  Socs3  Cox4i1  Cox6a1  Cox6c  Ddit3  Fos  Jun  Irs2  Uqcrfs1  Ndufa8
6.14357574198316e-05;24;300;2.95682302771855;Path:mmu05016 Huntington disease;http://www.genome.jp/kegg-bin/show_pathway?mmu05016;Ndufb11  Clta  Cox4i1  Cox6a1  Cox6c  Sod1  Psmd2  Tuba1b  Tuba4a  Tubb2a  Vdac1  Vdac2  Tubb4b  Psma5  Psma6  Psmb2  Adrm1  Actr10  Psmd8  Uqcrfs1  Ndufa8  Dctn2  Psmd1  Cltb
6.02407952163252e-06;29;380;2.95318609902517;Path:mmu05010 Alzheimer disease;http://www.genome.jp/kegg-bin/show_pathway?mmu05010;Ndufb11  Araf  Atf4  Cox4i1  Cox6a1  Cox6c  Ddit3  Gapdh  Hsd17b10  Ppp3ca  Snca  Psmd2  Tuba1b  Tuba4a  Tubb2a  Vdac1  Vdac2  Tubb4b  Psma5  Psma6  Psmb2  Irs2  Adrm1  Psmd8  Uqcrfs1  Ndufa8  Rtn4  Psmd1  Calml4
0.00337908832561671;15;216;2.87468905472637;Path:mmu05417 Lipid and atherosclerosis;http://www.genome.jp/kegg-bin/show_pathway?mmu05417;Atf4  Cdc42  Ddit3  Fos  Hspa5  Hspa8  Hspd1  Hsp90ab1  Hsp90aa1  Jun  Nfkbia  Ppp3ca  Stat3  Hsp90b1  Calml4
