Enrichment FDR;nGenes;Pathway Genes;Fold Enrichment;Pathway;URL;Genes
2.74752013107644e-06;13;32;6.83248081841432;GO:0140662 ATP-dependent protein folding chaperone;http://amigo.geneontology.org/amigo/term/GO:0140662;Cct4  Hspa8  Hsp90aa1  Hsp90ab1  Cct8  Hspa4l  Hspd1  Hspa5  Cct6a  Hsph1  Hspa13  Tcp1  Hspe1
9.07830299489706e-05;10;25;6.45024412927226;GO:0001671 ATPase activator activity;http://amigo.geneontology.org/amigo/term/GO:0001671;Ahsa2  Ahsa1  Dnajb2  Atp1b1  Dnajb1  Dnajb4  Dnaja1  Dnaja2  Rab3a  Rab6a
0.000127250996196422;11;33;5.57485385458531;GO:0140677 molecular function activator activity;http://amigo.geneontology.org/amigo/term/GO:0140677;Ahsa2  Ahsa1  Dnajb2  Atp1b1  Dnajb1  Dnajb4  Dnaja1  Dnaja2  Rab3a  Jmjd6  Rab6a
2.74752013107644e-06;16;51;5.40591888929485;GO:0044183 protein folding chaperone;http://amigo.geneontology.org/amigo/term/GO:0044183;Hspb1  Hspa8  Hspa5  Hspa13  Dnajb1  Cct4  Hsp90aa1  Hsp90ab1  Cct8  Hspa4l  Hspd1  Pdcl3  Cct6a  Hsph1  Tcp1  Hspe1
0.00100500279050728;12;52;4.15332792714116;GO:0030544 Hsp70 protein binding;http://amigo.geneontology.org/amigo/term/GO:0030544;Dnajb1  Dnajb2  Hikeshi  Bax  Stip1  Dnaja1  Rps3  Dnaja2  Dnaja4  Dnajb9  Nr3c1  Ppid
2.88383236517164e-06;21;90;4.13890664961637;GO:0051082 unfolded protein binding;http://amigo.geneontology.org/amigo/term/GO:0051082;Dnajb1  Cct4  Hspa8  Hsp90aa1  Hsp90ab1  Cct8  Dnajb2  Hspa5  Dnajb4  Nudc  Hspa13  Tcp1  Hspe1  Serpinh1  Clu  Dnaja1  Cct6a  Dnaja2  Dnaja4  Ptges3  Ube4b
0.000101660696533965;20;111;3.37869930580928;GO:0051087 chaperone binding;http://amigo.geneontology.org/amigo/term/GO:0051087;Dnajb1  Dnajb9  Dnajc3  Hspd1  Dnajb2  Dnajb4  Dnaja1  Bag3  Dnaja2  Dnaja4  Ptges3  Hspe1  Atp1a2  Hspa8  Ahsa2  Ogdh  Ahsa1  Prnp  Bax  Stip1
3.25899124246786e-06;29;174;3.16558134959669;GO:0003735 structural constituent of ribosome;http://amigo.geneontology.org/amigo/term/GO:0003735;Rpl13  Rpl8  Rpl15  Rps27a  Mrpl57  Rps14  Rpl14  Rps3  Rpl4  Rps29  Rpl22l1  Rps19  Rps2  Mrps7  Rpl9  Mrps16  Rpl18  Rpl3  Gm2000  Rps27  Rps18  Rps5  Mrpl43  Rps24  Mrps11  Rpl10a  Fau  Rpl18a  Rpl17
2.57143647841131e-05;25;139;3.13949935495553;GO:0031072 heat shock protein binding;http://amigo.geneontology.org/amigo/term/GO:0031072;Dnajb1  Hspa8  Stip1  Dnajb2  Hspa5  Hspa13  Hikeshi  Ptges3  Bax  Ahsa2  Pttg1  Ogdh  Ahsa1  Hsp90ab1  Nr3c1  Ppid  Dnaja1  Rps3  Dnaja2  Dnaja4  Zfp36  Pdxp  Dnajb9  Nfkbia  Arhgdia
4.12269967087799e-06;43;311;2.46045602673047;GO:0031625 ubiquitin protein ligase binding;http://amigo.geneontology.org/amigo/term/GO:0031625;Ubc  Gabarap  Ubb  Rps27a  Map1lc3a  Gabarapl2  Txnip  Trib1  Ckb  Tubb5  Fbxo7  Cacybp  Hspa8  Rtn4  Ywhae  Per1  Nfkbia  Hsp90aa1  Ripk1  Vcl  Clu  Tuba1b  Tmbim6  Cdkn1a  Hsp90ab1  Atp6v0c  Arih1  Pa2g4  Hspa5  Bcl10  Dnaja1  Vcp  Uchl1  Rnf34  Chek2  Usp2  Egr2  Mul1  Jun  Actg1  Tcp1  Hspd1  Dnajb2
