Enrichment FDR;nGenes;Pathway Genes;Fold Enrichment;Pathway;URL;Genes
0.00658281216222853;8;37;4.20460358056266;Path:mmu05216 Thyroid cancer;http://www.genome.jp/kegg-bin/show_pathway?mmu05216;Bax  Cdkn1a  Gadd45a  Hras  Gadd45b  Gadd45g  Map2k2  Tpm3
0.000665135805295195;13;68;3.84327046035806;Path:mmu05031 Amphetamine addiction;http://www.genome.jp/kegg-bin/show_pathway?mmu05031;Arc  Atf2  Atf4  Calm2  Camk2g  Fos  Fosb  Gnas  Gria2  Jun  Ppp1cc  Ppp3ca  Calml4
1.58865520482409e-06;26;130;3.61719572739582;Path:mmu03010 Ribosome;http://www.genome.jp/kegg-bin/show_pathway?mmu03010;Fau  Rps2  Rpl10a  Rpl18  Rpl9  Rps14  Rps18  Rps19  Rps24  Rps29  Rps5  Rpl8  Rpl13  Rps3  Rpl3  Rpl17  Mrps7  Rps27  Mrps16  Rpl15  Rpl14  Rpl4  Mrps11  Rpl22l1  Rpl18a  Rps27a
0.00658281216222853;10;47;3.46110660595097;Path:mmu03050 Proteasome;http://www.genome.jp/kegg-bin/show_pathway?mmu03050;Psmd7  Psmb10  Psmb5  Psmc2  Psme1  Psmd3  Psmd13  Psma5  Psmb2  Adrm1
0.00658281216222853;10;60;3.46110660595097;Path:mmu05134 Legionellosis;http://www.genome.jp/kegg-bin/show_pathway?mmu05134;Arf1  Clk1  Clk4  Eef1a1  Eef1a2  Hspa8  Hspd1  Nfkbia  Vcp  Rab1b
0.00658281216222853;11;78;3.25199808184143;Path:mmu01230 Biosynthesis of amino acids;http://www.genome.jp/kegg-bin/show_pathway?mmu01230;Eno2  Gapdh  Got2  Idh3b  Pgam1  Pkm  Taldo1  Tkt  Mat2a  Eno1b  Pycr2
0.00230922337656826;16;199;2.910879401928;Path:mmu05034 Alcoholism;http://www.genome.jp/kegg-bin/show_pathway?mmu05034;Atf2  Atf4  Calm2  Fosb  Gnai2  Gnas  Gnb2  Gnb3  Gng3  Grb2  H3f3a  Hras  Ppp1cc  Hdac11  Slc29a1  Calml4
2.06851935525779e-05;28;235;2.87923940842878;Path:mmu05171 Coronavirus disease-COVID-19;http://www.genome.jp/kegg-bin/show_pathway?mmu05171;Fau  Fos  Jun  Rps2  Nfkbia  Rpl10a  Rpl18  Rpl9  Rps14  Rps18  Rps19  Rps24  Rps29  Rps5  Stat2  Stat3  Rpl8  Rpl13  Rps3  Rpl3  Rpl17  Rps27  Rpl15  Rpl14  Rpl4  Rpl22l1  Rpl18a  Rps27a
2.63699567822459e-05;28;170;2.81797899548348;Path:mmu04141 Protein processing in endoplasmic reticulum;http://www.genome.jp/kegg-bin/show_pathway?mmu04141;Sec13  Atf4  Bax  Ddit3  Pdia3  Hspa5  Hspa8  Dnaja1  Hsph1  Hsp90ab1  Hsp90aa1  Ppp1r15a  Nfe2l2  Hspa4l  Rad23a  Os9  Ube2g2  Fbxo2  Vcp  Ubqln2  Dnaja2  Dnajb2  Ube4b  Herpud1  Ube2d3  Sec24a  Tusc3  Dnajb1
0.000772658303700419;20;136;2.78245825184294;Path:mmu04210 Apoptosis;http://www.genome.jp/kegg-bin/show_pathway?mmu04210;Actb  Actg1  Atf4  Bax  Ctsd  Gadd45a  Ddit3  Fos  Hras  Jun  Lmna  Mcl1  Gadd45b  Nfkbia  Ripk1  Tuba1b  Tuba4a  Gadd45g  Map2k2  Ctsf
1.64607158615177e-06;37;262;2.76342037959349;Path:mmu05012 Parkinson disease;http://www.genome.jp/kegg-bin/show_pathway?mmu05012;Atf4  Bax  Calm2  Camk2g  Ddit3  Gnai2  Gnas  Hspa5  Psmd7  Ndufv1  Nfe2l2  Psmb5  Psmc2  Psmd3  Tuba1b  Tuba4a  Tubb5  Ubb  Ubc  Ube2g2  Uchl1  Vdac2  Tubb4b  Psmd13  Psma5  Psmb2  Adrm1  Cyc1  Sdha  Uqcrc2  Tubb6  Ndufc2  Ndufa5  Ndufv2  Ndufs7  Calml4  Rps27a
0.00551953235383198;18;149;2.50421242665864;Path:mmu04261 Adrenergic signaling in cardiomyocytes;http://www.genome.jp/kegg-bin/show_pathway?mmu04261;Atf2  Atf4  Atp1b1  Atp2a2  Calm2  Camk2g  Crem  Gnai2  Gnas  Ppp1cc  Ppp2ca  Tnni3  Tpm2  Tpm4  Ppp2r1a  Tpm3  Atp2b1  Calml4
4.22617308822434e-05;33;266;2.49089214779344;Path:mmu05020 Prion disease;http://www.genome.jp/kegg-bin/show_pathway?mmu05020;Atf2  Atf4  Bax  Ddit3  Egr1  Hspa5  Hspa8  Psmd7  Ncam1  Ndufv1  Ppp3ca  Prnp  Psmb5  Psmc2  Stip1  Psmd3  Tuba1b  Tuba4a  Tubb5  Vdac2  Tubb4b  Psmd13  Psma5  Psmb2  Adrm1  Cyc1  Sdha  Uqcrc2  Tubb6  Ndufc2  Ndufa5  Ndufv2  Ndufs7
0.00581098273736096;18;171;2.47989968465225;Path:mmu04022 cGMP-PKG signaling pathway;http://www.genome.jp/kegg-bin/show_pathway?mmu04022;Atf2  Atf4  Atp1b1  Atp2a2  Calm2  Gna11  Gnai2  Ppp1cc  Ppp3ca  Rgs2  Srf  Vdac2  Map2k2  Cngb1  Irs2  Atp2b1  Calml4  Atp1a2
0.00613681668823672;18;152;2.45605449537675;Path:mmu04921 Oxytocin signaling pathway;http://www.genome.jp/kegg-bin/show_pathway?mmu04921;Actb  Actg1  Calm2  Camk2g  Cdkn1a  Eef2  Fos  Gnai2  Gnas  Hras  Jun  Ppp1cc  Ppp3ca  Rgs2  Map2k2  Camk1  Rcan1  Calml4
0.00387956886172329;21;216;2.38401023017903;Path:mmu05167 Kaposi sarcoma-associated herpesvirus infection;http://www.genome.jp/kegg-bin/show_pathway?mmu05167;Bax  Calm2  Cdkn1a  Fos  Gnb2  Gnb3  Gng3  Hras  Jun  Nfkbia  Ppp3ca  Stat2  Stat3  Ubb  Ubc  Zfp36  Map2k2  Rcan1  Map1lc3a  Calml4  Rps27a
2.06851935525779e-05;43;365;2.27683990533267;Path:mmu05014 Amyotrophic lateral sclerosis;http://www.genome.jp/kegg-bin/show_pathway?mmu05014;Chchd10  Sec13  Actb  Actg1  Atf4  Bax  Ddit3  Gria2  Hspa5  Psmd7  Ndufv1  Ppp3ca  Psmb5  Psmc2  Ranbp2  Srsf3  Psmd3  Tuba1b  Tuba4a  Tubb5  Srsf7  Tubb4b  Psmd13  Psma5  Psmb2  Vcp  Nup98  Rab5a  Tomm40  Hnrnpa2b1  Ubqln2  Adrm1  Actr10  Cyc1  Map1lc3a  Sdha  Uqcrc2  Tubb6  Ndufc2  Ndufa5  Dctn2  Ndufv2  Ndufs7
0.00689943984078958;21;220;2.2074168797954;Path:mmu05203 Viral carcinogenesis;http://www.genome.jp/kegg-bin/show_pathway?mmu05203;Atf2  Atf4  Bax  Ccnd2  Cdkn1a  Egr2  Egr3  Grb2  Hras  Jun  Nfkbia  Pkm  Srf  Stat3  Ywhae  Ywhag  Ywhah  Gtf2b  Hdac11  Ywhab  Snw1
4.27026874404782e-05;49;469;2.05113957857094;Path:mmu05022 Pathways of neurodegeneration-multiple diseases;http://www.genome.jp/kegg-bin/show_pathway?mmu05022;Atf4  Atp2a2  Bax  Calm2  Camk2g  Ddit3  Gria2  Hspa5  Hras  Psmd7  Ndufv1  Ppp3ca  Prnp  Psmb5  Psmc2  Psmd3  Tuba1b  Tuba4a  Tubb5  Ubb  Ubc  Ube2g2  Uchl1  Vdac2  Wnt4  Tubb4b  Psmd13  Map2k2  Psma5  Psmb2  Vcp  Rab5a  Tomm40  Adrm1  Actr10  Cyc1  Map1lc3a  Sdha  Uqcrc2  Ppid  Tubb6  Ndufc2  Ndufa5  Dctn2  Ndufv2  Ndufs7  Calml4  Rps27a  Csnk1a1
0.00220085182163006;37;380;1.93745340266702;Path:mmu05010 Alzheimer disease;http://www.genome.jp/kegg-bin/show_pathway?mmu05010;Apoe  Atf4  Atp2a2  Calm2  Ddit3  Gapdh  Hras  Psmd7  Ndufv1  Ppp3ca  Psmb5  Psmc2  Psmd3  Tuba1b  Tuba4a  Tubb5  Vdac2  Wnt4  Tubb4b  Psmd13  Map2k2  Psma5  Psmb2  Irs2  Adrm1  Cyc1  Sdha  Uqcrc2  Ppid  Tubb6  Ndufc2  Ndufa5  Rtn4  Ndufv2  Ndufs7  Calml4  Csnk1a1
