Community,Sex,Percent Shared Markers,Database,Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway ID, Pathway Name,URL,Genes
1,M,10,GO:BP,0.00296018326473136,3,29,53.5845410628019,GO:0043950, positive reg. of cAMP-mediated signaling,http://amigo.geneontology.org/amigo/term/GO:0043950,  Pomc  Chga  Gnas
1,M,10,GO:MF,0.0135507802832666,2,9,53.5845410628019,GO:0031628, opioid receptor binding,http://amigo.geneontology.org/amigo/term/GO:0031628,  Gnas  Penk
1,M,10,GO:MF,0.00192376189441914,3,38,48.2260869565217,GO:0071855, neuropeptide receptor binding,http://amigo.geneontology.org/amigo/term/GO:0071855,  Nmb  Gnas  Pomc
1,M,10,GO:MF,0.002357969623914,3,14,40.1884057971014,GO:0044548, S100 protein binding,http://amigo.geneontology.org/amigo/term/GO:0044548, S100a11  Anxa2  S100a1
1,M,10,GO:BP,0.00551018226986264,4,65,20.0942028985507,GO:0043903, reg. of biological proc. involved in symbiotic interaction,http://amigo.geneontology.org/amigo/term/GO:0043903, Ifitm3  Ifitm2  P4hb  Pomc
1,M,10,GO:MF,0.002357969623914,4,134,19.4852876592007,GO:0005179, hormone activity,http://amigo.geneontology.org/amigo/term/GO:0005179,  Prl  Nmb  Cga  Pomc
1,M,10,KEGG,5.68661477396583E-08,10,130,15.7601591361182,Path:mmu03010, Ribosome,http://www.genome.jp/kegg-bin/show_pathway?mmu03010,Fau  Rpl18  Rpl19  Rpl9  Rps18  Rps24  Rps5  Rpl8  Rps11  Rps27
1,M,10,GO:MF,0.00431846229455551,4,64,14.953825412875,GO:0001540, amyloid-beta binding,http://amigo.geneontology.org/amigo/term/GO:0001540, Apoe  Itm2b  Itm2c  Clu
1,M,10,GO:MF,0.00192376189441914,5,70,14.3530020703934,GO:0019843, rRNA binding,http://amigo.geneontology.org/amigo/term/GO:0019843, Rps11  Rpl8  Rps18  Rpl9  Rpl19
1,M,10,GO:MF,0.00192376189441914,5,91,13.8580709645177,GO:0048306, calcium-dependent protein binding,http://amigo.geneontology.org/amigo/term/GO:0048306, S100a11  S100a10  S100a16  Anxa2  Mgp
1,M,10,GO:MF,2.04175898662602E-06,10,174,12.4615211773958,GO:0003735, structural constituent of ribosome,http://amigo.geneontology.org/amigo/term/GO:0003735, Rps11  Rpl8  Rpl19  Rpl9  Rpl18  Rps27  Rps18  Rps5  Rps24  Fau
1,M,10,KEGG,5.5370793526221E-07,10,235,11.6488132745222,Path:mmu05171, Coronavirus disease-COVID-19,http://www.genome.jp/kegg-bin/show_pathway?mmu05171,Fau  Rpl18  Rpl19  Rpl9  Rps18  Rps24  Rps5  Rpl8  Rps11  Rps27
1,M,10,GO:BP,0.00164691950112408,7,157,9.78500315059861,GO:0002181, cytoplasmic translation,http://amigo.geneontology.org/amigo/term/GO:0002181, Rpl8  Rpl9  Rps11  Rps18  Rpl19  Rps24  Rpl18
1,M,10,KEGG,0.00743488496846816,5,385,8.93075684380032,Path:mmu04080, Neuroactive ligand-receptor interaction,http://www.genome.jp/kegg-bin/show_pathway?mmu04080, Cga  Penk  Pomc  Prl  Nmb
1,M,10,GO:BP,0.00331767544989482,7,264,8.03768115942029,GO:0015850, organic hydroxy compound transport,http://amigo.geneontology.org/amigo/term/GO:0015850, Pomc  Chga  Rbp4  Apoe  Anxa2  Emb  Nmb
1,M,10,GO:MF,0.00388215494412186,7,514,6.43014492753623,GO:0048018, receptor ligand activity,http://amigo.geneontology.org/amigo/term/GO:0048018, Prl  Nmb  Cga  Ptn  Pomc  Timp1  Penk
1,M,10,GO:MF,0.00431846229455551,7,523,6.18283166109253,GO:0030546, signaling receptor activator activity,http://amigo.geneontology.org/amigo/term/GO:0030546, Prl  Nmb  Cga  Ptn  Pomc  Timp1  Penk
1,M,10,GO:MF,0.00636618183546693,7,568,5.65465006190372,GO:0030545, signaling receptor regulator activity,http://amigo.geneontology.org/amigo/term/GO:0030545, Prl  Nmb  Cga  Ptn  Pomc  Timp1  Penk
1,M,10,GO:MF,0.000514897555915473,12,747,5.11682620228347,GO:0005198, structural molecule activity,http://amigo.geneontology.org/amigo/term/GO:0005198, Rps11  Rpl8  Rpl19  Vim  Rpl9  Rpl18  Rps27  Rps18  Rps5  Rps24  Fau  Sparc
1,M,10,GO:MF,0.0256814772598857,6,291,5.07643020594966,GO:0050839, cell adhesion molecule binding,http://amigo.geneontology.org/amigo/term/GO:0050839, Emb  Esm1  P4hb  Ptn  Cd9  Cpe
1,M,10,GO:BP,7.02413215210807E-05,18,869,4.43118716292696,GO:0006518, peptide metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0006518, Rpl8  Eef1b2  Cpe  Rpl9  Rps11  Rps18  Rpl19  Rps24  Rpl18  Apoe  Rps5  Clu  Igfbp5  Pam  Vim  Ctsh  Fau  Rps27
1,M,10,GO:MF,0.00388215494412186,10,721,4.26402183523623,GO:0005509, calcium ion binding,http://amigo.geneontology.org/amigo/term/GO:0005509, Sparc  S100a11  Anxa2  S100a10  S100a16  Pam  Mgp  Dlk1  Crtac1  S100a1
1,M,10,GO:BP,0.00283942790868394,13,672,4.07367856032997,GO:0006412, translation,http://amigo.geneontology.org/amigo/term/GO:0006412, Rpl8  Eef1b2  Rpl9  Rps11  Rps18  Rpl19  Rps24  Rpl18  Rps5  Igfbp5  Vim  Fau  Rps27
1,M,10,GO:BP,0.000740209925303662,15,1055,4.07314923619271,GO:0008284, positive reg. of cell population proliferation,http://amigo.geneontology.org/amigo/term/GO:0008284, Prl  Timp1  Igfbp5  Glul  Ptn  Esm1  Pou1f1  Ascl1  Nmb  Ctsh  Ctsz  Clu  Vim  Gnas  Anxa2
1,M,10,GO:BP,0.00296018326473136,13,696,3.95046711049012,GO:0043043, peptide biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0043043, Rpl8  Eef1b2  Rpl9  Rps11  Rps18  Rpl19  Rps24  Rpl18  Rps5  Igfbp5  Vim  Fau  Rps27
1,M,10,GO:BP,0.000740209925303662,16,1096,3.82178004608394,GO:0051241, negative reg. of multicellular organismal proc.,http://amigo.geneontology.org/amigo/term/GO:0051241, Mt3  Timp1  Apoe  Sparc  Pomc  Cd9  B2m  Rbp4  Nmb  Igfbp5  Gnas  Cga  Ptn  Anxa2  Cd63  Cpe
1,M,10,GO:BP,0.00296018326473136,14,814,3.671371492068,GO:0043604, amide biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0043604, Rpl8  Eef1b2  Rpl9  Rps11  Rps18  Rpl19  Rps24  Rpl18  Rps5  Igfbp5  Pam  Vim  Fau  Rps27
1,M,10,GO:BP,0.000740209925303662,18,1132,3.50735177865613,GO:0043603, cellular amide metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0043603, Rpl8  Eef1b2  Cpe  Rpl9  Rps11  Rps18  Rpl19  Rps24  Rpl18  Apoe  Rps5  Clu  Igfbp5  Pam  Vim  Ctsh  Fau  Rps27
1,M,10,GO:BP,0.000740209925303662,18,1126,3.41222313371616,GO:0034645, cellular macromolecule biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0034645, Rpl8  Itm2b  Eef1b2  Itm2c  Rpl9  Rps11  Rps18  Rpl19  Rps24  Rpl18  Apoe  Rps5  Igfbp5  Glul  Vim  Fau  Rps27  Mt3
1,M,10,GO:BP,0.00554934160808284,14,956,3.39962345111432,GO:0030334, reg. of cell migration,http://amigo.geneontology.org/amigo/term/GO:0030334, Tmsb10  Cd9  Timp1  Apoe  Sparc  Igfbp5  Glul  Hspa5  S100a11  Ctsh  Ptn  Cd63  Ifitm3  Vim
1,M,10,GO:BP,0.000159020378224975,22,1765,3.35538871930259,GO:0042127, reg. of cell population proliferation,http://amigo.geneontology.org/amigo/term/GO:0042127, Prl  Ascl1  Ifitm3  Cd9  Timp1  Apoe  Sparc  Clu  Igfbp5  Glul  S100a11  Ptn  Esm1  B2m  Pou1f1  Rbp4  Nmb  Ctsh  Ctsz  Vim  Gnas  Anxa2
1,M,10,GO:BP,0.00296018326473136,18,1498,2.99540912773427,GO:2000026, reg. of multicellular organismal development,http://amigo.geneontology.org/amigo/term/GO:2000026,Ascl1  Prl  Mt3  Anxa2  S100a10  Sparc  Glul  Ptn  Mgp  S100a1  B2m  Rbp4  Gnas  Tent5a  Ctsh  Apoe  Vim  Hspa5
1,M,10,GO:BP,0.000522684618703931,23,2102,2.9297411516112,GO:0008283, cell population proliferation,http://amigo.geneontology.org/amigo/term/GO:0008283, Prl  Ascl1  Ifitm3  Cd9  Timp1  Apoe  Sparc  Clu  Igfbp5  Glul  S100a11  Ptn  Esm1  Penk  B2m  Pou1f1  Rbp4  Nmb  Ctsh  Ctsz  Vim  Gnas  Anxa2
1,M,10,GO:BP,7.02413215210807E-05,30,2872,2.75263053404804,GO:0051239, reg. of multicellular organismal proc.,http://amigo.geneontology.org/amigo/term/GO:0051239, Apoe  Ascl1  Pomc  Prl  Nmb  Mt3  Anxa2  S100a10  Timp1  Sparc  Clu  Glul  Ptn  Mgp  Cd9  S100a1  Penk  B2m  Pou1f1  Rbp4  Igfbp5  Gnas  Cga  Tent5a  Ctsh  Chga  Cd63  Vim  Cpe  Hspa5
1,M,10,GO:MF,0.0113622106853904,14,1561,2.7445740544362,GO:0005102, signaling receptor binding,http://amigo.geneontology.org/amigo/term/GO:0005102, Apoe  Pomc  Prl  Nmb  Gnas  Cga  Ptn  Esm1  Penk  Timp1  Clu  P4hb  Cd9  Cpe
1,M,10,GO:BP,0.000522684618703931,26,2831,2.67751070012719,GO:0009605, response to external stimulus,http://amigo.geneontology.org/amigo/term/GO:0009605, Chga  Prl  Emb  Ifitm3  Dapl1  Gap43  Ifitm2  Nmb  Vim  Ldha  Apoe  Ascl1  Pomc  Clu  Cd63  Hspa5  Cd9  Fau  Penk  Glul  Tent5a  Rbp4  Ptn  Mt3  Anxa2  B2m
1,M,10,GO:BP,0.00318786689988213,25,2651,2.31767046119386,GO:0050793, reg. of developmental proc.,http://amigo.geneontology.org/amigo/term/GO:0050793, Ascl1  Prl  Mt3  Anxa2  S100a10  Apoe  Sparc  P4hb  Glul  Ptn  Mgp  S100a1  B2m  Igfbp5  Pou1f1  Rbp4  Gnas  Cga  Tent5a  Ctsh  Clu  Ifitm3  Vim  Cpe  Hspa5
1,M,10,GO:BP,0.00283942790868394,27,2914,2.25942104429305,GO:0032879, reg. of localization,http://amigo.geneontology.org/amigo/term/GO:0032879, Pomc  Chga  Prl  Nmb  Mest  Tmsb10  Anxa2  S100a10  Cd9  Timp1  Apoe  Sparc  Clu  Rbp4  Cd63  Igfbp5  Pam  Glul  Hspa5  S100a11  Ctsh  B2m  Gnas  Ptn  Btf3  Ifitm3  Vim
1,F ,10,GO:MF,0.000923873697050989,4,25,22.4060606060606,GO:0001671, ATPase activator activity,http://amigo.geneontology.org/amigo/term/GO:0001671, Atp1b1  Dnajb1  Dnaja1  Rab6a
1,F ,10,KEGG,0.000296732267702715,5,48,18.1225490196078,Path:mmu05030, Cocaine addiction,http://www.genome.jp/kegg-bin/show_pathway?mmu05030,Atf4  Fosb  Gnas  Gria2  Jun
1,F ,10,KEGG,1.93230043552186E-05,7,68,17.9715277777778,Path:mmu05031, Amphetamine addiction,http://www.genome.jp/kegg-bin/show_pathway?mmu05031,Atf4  Cacna1d  Fos  Fosb  Gnas  Gria2  Jun
1,F ,10,GO:MF,0.00213559160702627,4,33,17.6047619047619,GO:0140677, molecular function activator activity,http://amigo.geneontology.org/amigo/term/GO:0140677, Atp1b1  Dnajb1  Dnaja1  Rab6a
1,F ,10,KEGG,0.00128184060754953,5,75,12.8368055555556,Path:mmu04971, Gastric acid secretion,http://www.genome.jp/kegg-bin/show_pathway?mmu04971,Actb  Actg1  Atp1b1  Gnas  Ezr
1,F ,10,KEGG,0.0026205027028026,5,93,10.4435028248588,Path:mmu04657, IL-17 signaling pathway,http://www.genome.jp/kegg-bin/show_pathway?mmu04657,Fos  Fosb  Hsp90aa1  Jun  Jund
1,F ,10,GO:MF,0.000923873697050989,6,90,10.2694444444444,GO:0051082, unfolded protein binding,http://amigo.geneontology.org/amigo/term/GO:0051082, Dnajb1  Hspa8  Hsp90aa1  Cryab  Clu  Dnaja1
1,F ,10,KEGG,0.000296732267702715,7,134,9.91532567049808,Path:mmu04915, Estrogen signaling pathway,http://www.genome.jp/kegg-bin/show_pathway?mmu04915,Atf4  Fos  Gnas  Hspa8  Hsp90aa1  Jun  Krt18
1,F ,10,KEGG,0.000234129228044091,8,145,9.12839506172839,Path:mmu05418, Fluid shear stress and atherosclerosis,http://www.genome.jp/kegg-bin/show_pathway?mmu05418,Actb  Actg1  Fos  Gstm1  Hsp90aa1  Jun  Klf2  Mgst1
1,F ,10,KEGG,0.00490326801263943,5,90,8.55787037037037,Path:mmu04912, GnRH signaling pathway,http://www.genome.jp/kegg-bin/show_pathway?mmu04912,Atf4  Cacna1d  Egr1  Gnas  Jun
1,F ,10,KEGG,0.0132703941859802,4,86,8.35480225988701,Path:mmu04911, Insulin secretion,http://www.genome.jp/kegg-bin/show_pathway?mmu04911,Atf4  Atp1b1  Cacna1d  Gnas
1,F ,10,KEGG,0.0132703941859802,4,94,8.35480225988701,Path:mmu05414, Dilated cardiomyopathy,http://www.genome.jp/kegg-bin/show_pathway?mmu05414,Actb  Actg1  Cacna1d  Gnas
1,F ,10,KEGG,0.00534077485822422,5,108,8.10745614035088,Path:mmu04928, Parathyroid hormone synthesis secretion and action,http://www.genome.jp/kegg-bin/show_pathway?mmu04928,Atf4  Egr1  Fos  Gnas  Jund
1,F ,10,KEGG,0.0026205027028026,6,117,7.86595744680851,Path:mmu04935, Growth hormone synthesis secretion and action,http://www.genome.jp/kegg-bin/show_pathway?mmu04935,Atf4  Cacna1d  Socs3  Fos  Gnas  Irs2
1,F ,10,KEGG,0.000296732267702715,8,209,7.82433862433863,Path:mmu05207, Chemical carcinogenesis-receptor activation,http://www.genome.jp/kegg-bin/show_pathway?mmu05207,Atf4  Cacna1d  Fos  Gnas  Gstm1  Hsp90aa1  Jun  Mgst1
1,F ,10,KEGG,0.0083157419233446,5,124,7.24901960784314,Path:mmu04380, Osteoclast differentiation,http://www.genome.jp/kegg-bin/show_pathway?mmu04380,Socs3  Fos  Fosb  Jun  Jund
1,F ,10,KEGG,0.00363990405603453,6,152,7.10961538461538,Path:mmu04921, Oxytocin signaling pathway,http://www.genome.jp/kegg-bin/show_pathway?mmu04921,Actb  Actg1  Cacna1d  Fos  Gnas  Jun
1,F ,10,GO:MF,1.24878801224003E-05,14,507,6.11796690307329,GO:0001228, DNA-binding transcription activator activity RNA polymerase II-specif,http://amigo.geneontology.org/amigo/term/GO:0001228, Atf4  Jund  Fosb  Fos  Rorb  Cebpd  Klf6  Nr3c1  Atf3  Egr2  Egr1  Npas4  Jun  Tsc22d1
1,F ,10,KEGG,0.002995148191282,7,170,6.11796690307329,Path:mmu04141, Protein processing in endoplasmic reticulum,http://www.genome.jp/kegg-bin/show_pathway?mmu04141,Atf4  Cryab  Hspa8  Dnaja1  Hsp90aa1  Ppp1r15a  Dnajb1
1,F ,10,GO:MF,1.24878801224003E-05,14,513,6.07488262910798,GO:0001216, DNA-binding transcription activator activity,http://amigo.geneontology.org/amigo/term/GO:0001216, Atf4  Jund  Fosb  Fos  Rorb  Cebpd  Klf6  Nr3c1  Atf3  Egr2  Egr1  Npas4  Jun  Tsc22d1
1,F ,10,KEGG,0.0132703941859802,5,136,6.04084967320261,Path:mmu04210, Apoptosis,http://www.genome.jp/kegg-bin/show_pathway?mmu04210,Actb  Actg1  Atf4  Fos  Jun
1,F ,10,KEGG,0.0132703941859802,5,132,6.04084967320261,Path:mmu04728, Dopaminergic synapse,http://www.genome.jp/kegg-bin/show_pathway?mmu04728,Atf4  Cacna1d  Fos  Gnas  Gria2
1,F ,10,KEGG,0.00983135774946701,6,219,5.47703703703704,Path:mmu04024, cAMP signaling pathway,http://www.genome.jp/kegg-bin/show_pathway?mmu04024,Atp1b1  Cacna1d  Fos  Gnas  Gria2  Jun
1,F ,10,KEGG,0.00527891178508088,7,241,5.32489711934156,Path:mmu05166, Human T-cell leukemia virus 1 infection,http://www.genome.jp/kegg-bin/show_pathway?mmu05166,Atf4  Ccnd2  Egr1  Egr2  Fos  Jun  Zfp36
1,F ,10,GO:BP,4.34521681179625E-06,18,689,4.79092872570194,GO:0061061, muscle structure development,http://amigo.geneontology.org/amigo/term/GO:0061061, Tnnt1  Actb  Id2  Actg1  Id3  Hspa8  Igfbp5  Cryab  Btg2  Fos  Ly6e  Atf3  Cd9  Egr2  Egr1  Ccnd2  Nr3c1  Btg1
1,F ,10,GO:BP,9.42886111819858E-08,24,1040,4.57125193199382,GO:0014070, response to organic cyclic compound,http://amigo.geneontology.org/amigo/term/GO:0014070, Nr3c1  Gnas  Id3  Epha5  Npas4  Folr1  Fosb  Hspa8  Btg2  Fos  Hsp90aa1  Clu  Igfbp5  Actb  Cryab  Klf9  Atf4  Zfp36  Ezr  Jun  Klf2  Jund  Dnaja1  Egr1
1,F ,10,GO:BP,6.10991005457737E-10,30,1267,4.47578692493947,GO:1901701, cellular response to oxygen-containing compound,http://amigo.geneontology.org/amigo/term/GO:1901701, Gnas  Prdx1  Irs2  Psap  Id3  Ly6e  Epha5  Mt1  Zfp36  Npas4  Socs3  Folr1  Mgst1  Hspa8  Fos  Clu  Slc38a2  Tra2b  Nr3c1  Igfbp5  Actb  Klf9  Atf4  Ezr  Jun  Klf2  Zbtb20  Cacna1d  Rorb  Egr1
1,F ,10,KEGG,0.0126841694078945,7,251,4.37884940778342,Path:mmu05132, Salmonella infection,http://www.genome.jp/kegg-bin/show_pathway?mmu05132,Actb  Actg1  Fos  Hsp90aa1  Jun  S100a10  Dctn6
1,F ,10,GO:MF,0.00326286131914096,10,373,4.12151616499443,GO:0061629, RNA polymerase II-specific DNA-binding transcription factor binding,http://amigo.geneontology.org/amigo/term/GO:0061629, Bhlhe40  Hspb1  Fos  Dnaja1  Actb  Atf4  Jun  Jund  Id2  Egr2
1,F ,10,GO:BP,6.96772647717851E-06,20,921,4.10777777777778,GO:0009725, response to hormone,http://amigo.geneontology.org/amigo/term/GO:0009725, Nr3c1  Irs2  Epha5  Egr1  Npas4  Socs3  Fosb  Hspa8  Btg2  Fos  Hsp90aa1  Gnas  Klf9  Btg1  Egr2  Zfp36  Jun  Jund  Dnaja1  Igfbp5
1,F ,10,GO:MF,0.000790637611844736,13,500,4.04553872053872,GO:0140297, DNA-binding transcription factor binding,http://amigo.geneontology.org/amigo/term/GO:0140297, Bhlhe40  Atf4  Hspb1  Fos  Dnaja1  Actb  Jun  Jund  Id3  Id2  Tle4  Egr2  Ptma
1,F ,10,GO:BP,4.38299313370915E-11,37,1825,3.99617294770669,GO:1901700, response to oxygen-containing compound,http://amigo.geneontology.org/amigo/term/GO:1901700, Gnas  Prdx1  Irs2  Psap  Id3  Ly6e  Epha5  Mt1  Egr1  Zfp36  Npas4  Socs3  Folr1  Fosb  Mgst1  Hspa8  Btg2  Fos  Hsp90aa1  Clu  Slc38a2  Tra2b  Nr3c1  Igfbp5  Actb  Cryab  Klf9  Btg1  Egr2  Atf4  Ezr  Jun  Klf2  Jund  Zbtb20  Cacna1d  Rorb
1,F ,10,GO:MF,0.000332732514035411,17,1105,3.70790560471976,GO:0000978, RNA polymerase II cis-regulatory region sequence-specific DNA binding,http://amigo.geneontology.org/amigo/term/GO:0000978, Fosb  Fos  Zbtb20  Nr3c1  Atf3  Bhlhe40  Rorb  Egr2  Egr1  Jun  Klf2  Jund  Cebpd  Atf4  Npas4  Klf6  Tsc22d1
1,F ,10,GO:MF,0.000345680240922645,17,1129,3.61201149425287,GO:0000987, cis-regulatory region sequence-specific DNA binding,http://amigo.geneontology.org/amigo/term/GO:0000987, Fosb  Fos  Zbtb20  Nr3c1  Atf3  Bhlhe40  Rorb  Egr2  Egr1  Jun  Klf2  Jund  Cebpd  Atf4  Npas4  Klf6  Tsc22d1
1,F ,10,GO:MF,0.000426864951843287,17,1289,3.45704070407041,GO:0000981, DNA-binding transcription factor activity RNA polymerase II-specific,http://amigo.geneontology.org/amigo/term/GO:0000981, Fosb  Fos  Zbtb20  Nr3c1  Atf3  Bhlhe40  Rorb  Egr2  Egr1  Atf4  Npas4  Jun  Klf2  Jund  Cebpd  Klf6  Tsc22d1
1,F ,10,GO:MF,0.00326286131914096,13,614,3.2895961670089,GO:0008134, transcription factor binding,http://amigo.geneontology.org/amigo/term/GO:0008134, Bhlhe40  Atf4  Hspb1  Fos  Dnaja1  Actb  Jun  Jund  Id3  Id2  Tle4  Egr2  Ptma
1,F ,10,GO:MF,0.000790637611844736,17,1363,3.25811301192328,GO:0003700, DNA-binding transcription factor activity,http://amigo.geneontology.org/amigo/term/GO:0003700, Fosb  Fos  Zbtb20  Nr3c1  Atf3  Bhlhe40  Rorb  Egr2  Egr1  Atf4  Npas4  Jun  Klf2  Jund  Cebpd  Klf6  Tsc22d1
1,F ,10,GO:BP,2.82295260874365E-06,28,1652,3.19789928946555,GO:0009719, response to endogenous stimulus,http://amigo.geneontology.org/amigo/term/GO:0009719, Nr3c1  Gnas  Irs2  Epha5  Cd9  Egr1  Zfp36  Npas4  Jun  Socs3  Folr1  Fosb  Hspa8  Btg2  Fos  Hsp90aa1  Igfbp5  Actb  Klf9  Btg1  Egr2  Atf4  Ezr  Ier2  Klf2  Jund  Dnaja1  Nrxn1
1,F ,10,GO:MF,0.000816729325024839,18,1426,3.02619372442019,GO:0001067, transcription regulatory region nucleic acid binding,http://amigo.geneontology.org/amigo/term/GO:0001067, Fosb  Fos  Zbtb20  Nr3c1  Atf3  Bhlhe40  Rorb  Egr2  Egr1  Atf4  Npas4  Jun  Klf2  Jund  Cebpd  Klf6  Hnrnpa2b1  Tsc22d1
1,F ,10,GO:BP,4.38299313370915E-11,48,3162,2.97545271629779,GO:0070887, cellular response to chemical stimulus,http://amigo.geneontology.org/amigo/term/GO:0070887, Hspa8  Nr3c1  Ifitm3  Gnas  Prdx1  Mt1  Irs2  Ifitm2  Fosb  Psap  Hspb1  Id3  Id2  Fos  Ly6e  Epha5  Egr2  Egr1  Atf4  Zfp36  Npas4  Jun  Socs3  Gstm1  Actg1  Jund  Folr1  Mgst1  Clu  Slc38a2  Tra2b  Pla2g7  Igfbp5  Dnaja1  Actb  Ppib  Klf9  Ezr  Klf2  Tle4  Spock2  Krt18  Zbtb20  Atf3  Ppp1r15a  Cacna1d  Nrxn1  Rorb
1,F ,10,GO:BP,2.35988369017157E-08,39,2498,2.9703955500618,GO:0071310, cellular response to organic substance,http://amigo.geneontology.org/amigo/term/GO:0071310, Hspa8  Nr3c1  Ifitm3  Gnas  Irs2  Ifitm2  Id3  Epha5  Egr2  Egr1  Atf4  Zfp36  Npas4  Jun  Socs3  Actg1  Folr1  Fosb  Hspb1  Mgst1  Fos  Clu  Tra2b  Igfbp5  Actb  Klf9  Ezr  Klf2  Tle4  Spock2  Krt18  Psap  Zbtb20  Atf3  Dnaja1  Ppp1r15a  Cacna1d  Nrxn1  Rorb
1,F ,10,GO:MF,0.0021301545742519,17,1422,2.87375400091449,GO:0000976, transcription cis-regulatory region binding,http://amigo.geneontology.org/amigo/term/GO:0000976, Fosb  Fos  Zbtb20  Nr3c1  Atf3  Bhlhe40  Rorb  Egr2  Egr1  Atf4  Npas4  Jun  Klf2  Jund  Cebpd  Klf6  Tsc22d1
1,F ,10,GO:BP,4.05608665056678E-10,47,3454,2.84059179336276,GO:0010033, response to organic substance,http://amigo.geneontology.org/amigo/term/GO:0010033, Hspa8  Nr3c1  Ifitm3  Gnas  Irs2  Ifitm2  Id3  Ly6e  Epha5  Cd9  Egr2  Egr1  Atf4  Zfp36  Npas4  Jun  Socs3  Actg1  Folr1  Fosb  Hspb1  Mgst1  Btg2  Fos  Hsp90aa1  Clu  Tra2b  Igfbp5  Actb  Cryab  Klf9  Btg1  Ezr  Ier2  Klf2  Jund  Tle4  Spock2  Krt18  Psap  Zbtb20  Atf3  Dnaja1  Ppp1r15a  Cacna1d  Nrxn1  Rorb
